#term	term_size	term_size_in_genome	list1_positives	list1_negatives	list1_percentage	list2_positives	list2_negatives	list2_percentage	list1_positive_ids	list2_positive_ids	odds_ratio_log	pvalue	adj_pvalue
h_cftrPathway	10	10	2	504	0.4	8	22963	0.03	ADRB2,HOXA5	ENSG00000001626,ENSG00000005249,ENSG00000092820,ENSG00000114302,ENSG00000142875,ENSG00000164742,ENSG00000165059,ENSG00000188191	2.4327688747E0	1.86044E-2	3.04885E-1
h_gcrPathway	13	14	2	504	0.4	11	22960	0.05	ADRB2,CALM1	ENSG00000080824,ENSG00000087460,ENSG00000105851,ENSG00000109320,ENSG00000113580,ENSG00000121879,ENSG00000135046,ENSG00000142208,ENSG00000145675,ENSG00000164867,ENSG00000225134	2.1141844901E0	3.09046E-2	3.25215E-1
h_plcePathway	10	10	2	504	0.4	8	22963	0.03	ADRB2,HOXA5	ENSG00000005249,ENSG00000114302,ENSG00000138193,ENSG00000142875,ENSG00000164742,ENSG00000165059,ENSG00000181467,ENSG00000188191	2.4327688747E0	1.86044E-2	3.04885E-1
h_arapPathway	14	14	1	505	0.2	13	22958	0.06	ARAP2	ENSG00000008256,ENSG00000066777,ENSG00000100055,ENSG00000101199,ENSG00000105443,ENSG00000107862,ENSG00000112293,ENSG00000122218,ENSG00000124198,ENSG00000151693,ENSG00000153317,ENSG00000175416,ENSG00000186635	1.2519139519E0	2.6297E-1	6.44395E-1
h_edg1Pathway	22	22	2	504	0.4	20	22951	0.09	ASAH1,RHOA	ENSG00000056345,ENSG00000100030,ENSG00000102882,ENSG00000105851,ENSG00000121879,ENSG00000134853,ENSG00000135587,ENSG00000136238,ENSG00000138448,ENSG00000142208,ENSG00000145675,ENSG00000153820,ENSG00000154229,ENSG00000164742,ENSG00000166311,ENSG00000166501,ENSG00000170989,ENSG00000182621,ENSG00000197461,ENSG00000225134	1.5159554265E0	8.06755E-2	3.84978E-1
h_alkPathway	30	30	3	503	0.59	27	22944	0.12	BMP2,BMPR2,SMAD6	ENSG00000035928,ENSG00000069702,ENSG00000082701,ENSG00000090539,ENSG00000101144,ENSG00000103126,ENSG00000105329,ENSG00000106799,ENSG00000107779,ENSG00000112175,ENSG00000113658,ENSG00000115170,ENSG00000115966,ENSG00000119699,ENSG00000125084,ENSG00000125378,ENSG00000134982,ENSG00000135100,ENSG00000136574,ENSG00000141646,ENSG00000157240,ENSG00000163217,ENSG00000168036,ENSG00000169962,ENSG00000170365,ENSG00000183072,ENSG00000183691	1.622996996E0	2.62579E-2	3.13661E-1
h_btg2Pathway	11	11	1	505	0.2	10	22961	0.04	BTG2	ENSG00000110092,ENSG00000113578,ENSG00000126457,ENSG00000133639,ENSG00000134259,ENSG00000139687,ENSG00000141510,ENSG00000159259,ENSG00000167670,ENSG00000170689	1.5144088812E0	2.13157E-1	5.9772E-1
h_At1rPathway	22	23	2	504	0.4	20	22951	0.09	CALM1,JUN	ENSG00000065559,ENSG00000095015,ENSG00000100030,ENSG00000102882,ENSG00000107643,ENSG00000115904,ENSG00000115966,ENSG00000120899,ENSG00000132155,ENSG00000135744,ENSG00000136238,ENSG00000144891,ENSG00000146648,ENSG00000149269,ENSG00000154229,ENSG00000156052,ENSG00000160691,ENSG00000166501,ENSG00000169032,ENSG00000177885	1.5159554265E0	8.06755E-2	3.84978E-1
h_bcrPathway	27	28	3	503	0.59	24	22947	0.1	CALM1,FOS,JUN	ENSG00000007312,ENSG00000010671,ENSG00000095015,ENSG00000100968,ENSG00000101096,ENSG00000102882,ENSG00000105369,ENSG00000107643,ENSG00000112062,ENSG00000115904,ENSG00000120910,ENSG00000124181,ENSG00000131196,ENSG00000132155,ENSG00000136238,ENSG00000138814,ENSG00000141968,ENSG00000147507,ENSG00000154229,ENSG00000160691,ENSG00000165025,ENSG00000166501,ENSG00000169032,ENSG00000177885	1.7409107762E0	1.98326E-2	3.04885E-1
h_biopeptidesPathway	23	24	1	505	0.2	22	22949	0.1	CALM1	ENSG00000088256,ENSG00000096968,ENSG00000100030,ENSG00000102882,ENSG00000107643,ENSG00000112062,ENSG00000113889,ENSG00000115904,ENSG00000120899,ENSG00000124181,ENSG00000126561,ENSG00000132155,ENSG00000135744,ENSG00000154229,ENSG00000160691,ENSG00000166501,ENSG00000168610,ENSG00000169032,ENSG00000177885,ENSG00000180210,ENSG00000180772,ENSG00000231338	725428.75892E-6	3.94304E-1	7.77179E-1
h_CaCaMPathway	5	6	1	505	0.2	4	22967	0.02	CALM1	ENSG00000008118,ENSG00000110931,ENSG00000118260,ENSG00000152495	2.4309608916E0	1.03227E-1	4.45679E-1
h_calcineurinPathway	14	15	2	504	0.4	12	22959	0.05	CALM1,CDKN1A	ENSG00000100968,ENSG00000101096,ENSG00000120910,ENSG00000124181,ENSG00000131196,ENSG00000138814,ENSG00000154229,ENSG00000155130,ENSG00000156052,ENSG00000166501,ENSG00000172845,ENSG00000185591	2.0271295582E0	3.55495E-2	3.37894E-1
h_Ccr5Pathway	12	13	3	503	0.59	9	22962	0.04	CALM1,FOS,JUN	ENSG00000107643,ENSG00000112062,ENSG00000120899,ENSG00000121966,ENSG00000124181,ENSG00000154229,ENSG00000156052,ENSG00000160791,ENSG00000166501	2.7223934959E0	1.89395E-3	1.71718E-1
h_fcer1Pathway	34	35	3	503	0.59	31	22940	0.13	CALM1,FOS,JUN	ENSG00000010671,ENSG00000065559,ENSG00000076984,ENSG00000095015,ENSG00000100030,ENSG00000100968,ENSG00000101096,ENSG00000102882,ENSG00000105851,ENSG00000107643,ENSG00000115904,ENSG00000116711,ENSG00000120910,ENSG00000121879,ENSG00000124181,ENSG00000131196,ENSG00000132155,ENSG00000138814,ENSG00000141968,ENSG00000145675,ENSG00000147507,ENSG00000149534,ENSG00000158869,ENSG00000160691,ENSG00000165025,ENSG00000166501,ENSG00000169032,ENSG00000177885,ENSG00000179639,ENSG00000180370,ENSG00000225134	1.4846723048E0	3.63479E-2	3.37894E-1
h_fMLPpathway	21	22	1	505	0.2	20	22951	0.09	CALM1	ENSG00000008118,ENSG00000034152,ENSG00000060558,ENSG00000095015,ENSG00000100030,ENSG00000100968,ENSG00000101096,ENSG00000102882,ENSG00000109320,ENSG00000112062,ENSG00000120910,ENSG00000131196,ENSG00000132155,ENSG00000136238,ENSG00000138814,ENSG00000139144,ENSG00000149269,ENSG00000158517,ENSG00000169032,ENSG00000182621	820826.08469E-6	3.673E-1	7.5117E-1
h_gpcrPathway	24	25	4	502	0.79	20	22951	0.09	CALM1,FOS,HOXA5,JUN	ENSG00000005249,ENSG00000100968,ENSG00000101096,ENSG00000102882,ENSG00000114302,ENSG00000118260,ENSG00000120910,ENSG00000124181,ENSG00000131196,ENSG00000132155,ENSG00000138814,ENSG00000142875,ENSG00000154229,ENSG00000156052,ENSG00000164742,ENSG00000165059,ENSG00000166501,ENSG00000169032,ENSG00000177189,ENSG00000188191	2.2130787554E0	1.60869E-3	1.71718E-1
h_hdacPathway	20	21	2	504	0.4	18	22953	0.08	CALM1,SOX17	ENSG00000008118,ENSG00000017427,ENSG00000101096,ENSG00000105851,ENSG00000108840,ENSG00000112062,ENSG00000120910,ENSG00000121879,ENSG00000128245,ENSG00000129152,ENSG00000131196,ENSG00000138814,ENSG00000140443,ENSG00000142208,ENSG00000145675,ENSG00000166484,ENSG00000171105,ENSG00000225134	1.6214030805E0	6.82305E-2	3.74609E-1
h_mef2dPathway	12	13	2	504	0.4	10	22961	0.04	CALM1,SOX17	ENSG00000100393,ENSG00000101096,ENSG00000116478,ENSG00000120910,ENSG00000131196,ENSG00000138814,ENSG00000154229,ENSG00000162909,ENSG00000166501,ENSG00000196591	2.209538223E0	2.65228E-2	3.13661E-1
h_ndkDynaminPathway	10	11	1	505	0.2	9	22962	0.04	CALM1	ENSG00000063245,ENSG00000073921,ENSG00000078269,ENSG00000085832,ENSG00000120910,ENSG00000138814,ENSG00000159082,ENSG00000161203,ENSG00000196961	1.619812948E0	1.95817E-1	5.9772E-1
h_nfatPathway	44	45	3	503	0.59	41	22930	0.18	CALM1,FGF2,HOXA5	ENSG00000005249,ENSG00000005339,ENSG00000008118,ENSG00000017427,ENSG00000078401,ENSG00000082701,ENSG00000100030,ENSG00000100968,ENSG00000101096,ENSG00000102882,ENSG00000105851,ENSG00000107643,ENSG00000108443,ENSG00000112062,ENSG00000113070,ENSG00000113196,ENSG00000113712,ENSG00000114302,ENSG00000120910,ENSG00000121879,ENSG00000125414,ENSG00000131196,ENSG00000132155,ENSG00000135744,ENSG00000136574,ENSG00000138814,ENSG00000142208,ENSG00000142875,ENSG00000143632,ENSG00000145675,ENSG00000150281,ENSG00000152495,ENSG00000164107,ENSG00000165059,ENSG00000169032,ENSG00000169393,ENSG00000179218,ENSG00000180210,ENSG00000183072,ENSG00000188191,ENSG00000225134	1.2046514277E0	6.8862E-2	3.74609E-1
h_no1Pathway	25	26	3	503	0.59	22	22949	0.1	CALM1,FLT4,HOXA5	ENSG00000005249,ENSG00000080824,ENSG00000105974,ENSG00000112715,ENSG00000113889,ENSG00000114302,ENSG00000128052,ENSG00000138435,ENSG00000139514,ENSG00000142208,ENSG00000142875,ENSG00000143632,ENSG00000152270,ENSG00000159173,ENSG00000164867,ENSG00000165059,ENSG00000168398,ENSG00000168539,ENSG00000172572,ENSG00000186642,ENSG00000188191,ENSG00000198626	1.8280093068E0	1.60955E-2	3.04885E-1
h_nos1Pathway	16	17	2	504	0.4	14	22957	0.06	CALM1,HOXA5	ENSG00000005249,ENSG00000089250,ENSG00000105464,ENSG00000114302,ENSG00000120910,ENSG00000132535,ENSG00000138814,ENSG00000142875,ENSG00000150086,ENSG00000154229,ENSG00000165059,ENSG00000166501,ENSG00000183454,ENSG00000188191	1.8728917627E0	4.55762E-2	3.37894E-1
h_pgc1aPathway	11	12	1	505	0.2	10	22961	0.04	CALM1	ENSG00000008118,ENSG00000108840,ENSG00000109819,ENSG00000120910,ENSG00000128245,ENSG00000138814,ENSG00000152495,ENSG00000173153,ENSG00000181856,ENSG00000186951	1.5144088812E0	2.13157E-1	5.9772E-1
h_pyk2Pathway	22	23	2	504	0.4	20	22951	0.09	CALM1,JUN	ENSG00000034152,ENSG00000050820,ENSG00000065559,ENSG00000095015,ENSG00000100030,ENSG00000102882,ENSG00000107643,ENSG00000112062,ENSG00000115904,ENSG00000120899,ENSG00000124181,ENSG00000132155,ENSG00000136238,ENSG00000149269,ENSG00000154229,ENSG00000156052,ENSG00000160691,ENSG00000166501,ENSG00000169032,ENSG00000177885	1.5159554265E0	8.06755E-2	3.84978E-1
h_tcrPathway	32	33	3	503	0.59	29	22942	0.13	CALM1,FOS,JUN	ENSG00000065559,ENSG00000095015,ENSG00000100968,ENSG00000101096,ENSG00000102882,ENSG00000105851,ENSG00000107643,ENSG00000109320,ENSG00000115085,ENSG00000115904,ENSG00000120910,ENSG00000121879,ENSG00000124181,ENSG00000131196,ENSG00000132155,ENSG00000136238,ENSG00000138814,ENSG00000141968,ENSG00000143851,ENSG00000145675,ENSG00000154229,ENSG00000160654,ENSG00000160691,ENSG00000166501,ENSG00000169032,ENSG00000177885,ENSG00000182866,ENSG00000198821,ENSG00000225134	1.5514508594E0	3.10868E-2	3.25215E-1
h_vipPathway	19	20	2	504	0.4	17	22954	0.07	CALM1,HOXA5	ENSG00000005249,ENSG00000095015,ENSG00000101096,ENSG00000106018,ENSG00000109320,ENSG00000114302,ENSG00000120910,ENSG00000124181,ENSG00000131196,ENSG00000136997,ENSG00000138814,ENSG00000142875,ENSG00000146469,ENSG00000156052,ENSG00000165059,ENSG00000179388,ENSG00000188191	1.6786050607E0	6.22711E-2	3.60377E-1
h_longevityPathway	11	11	1	505	0.2	10	22961	0.04	CAT	ENSG00000017427,ENSG00000105851,ENSG00000112964,ENSG00000118689,ENSG00000121879,ENSG00000140443,ENSG00000142208,ENSG00000145675,ENSG00000160691,ENSG00000225134	1.5144088812E0	2.13157E-1	5.9772E-1
h_cellcyclePathway	17	17	2	504	0.4	15	22956	0.07	CCND2,CDKN1A	ENSG00000080839,ENSG00000101412,ENSG00000105173,ENSG00000105810,ENSG00000110092,ENSG00000111276,ENSG00000123080,ENSG00000123374,ENSG00000129355,ENSG00000133101,ENSG00000134057,ENSG00000134058,ENSG00000139687,ENSG00000164045,ENSG00000198176	1.8038553306E0	5.09325E-2	3.37894E-1
h_atmPathway	18	18	2	504	0.4	16	22955	0.07	CDKN1A,JUN	ENSG00000012048,ENSG00000020922,ENSG00000051180,ENSG00000078900,ENSG00000097007,ENSG00000101773,ENSG00000104320,ENSG00000107643,ENSG00000109320,ENSG00000113522,ENSG00000116717,ENSG00000135679,ENSG00000141510,ENSG00000149311,ENSG00000149554,ENSG00000183765	1.7392732469E0	5.65013E-2	3.41519E-1
h_eponfkbPathway	6	6	1	505	0.2	5	22966	0.02	CDKN1A	ENSG00000096968,ENSG00000100644,ENSG00000109320,ENSG00000130427,ENSG00000143437	2.2077737986E0	1.22559E-1	4.69524E-1
h_g1Pathway	23	23	1	505	0.2	22	22949	0.1	CDKN1A	ENSG00000082701,ENSG00000097007,ENSG00000101412,ENSG00000105173,ENSG00000105329,ENSG00000105810,ENSG00000110092,ENSG00000111276,ENSG00000116478,ENSG00000119699,ENSG00000123374,ENSG00000133101,ENSG00000139687,ENSG00000141510,ENSG00000141646,ENSG00000145604,ENSG00000149311,ENSG00000164045,ENSG00000166949,ENSG00000175054,ENSG00000198176,ENSG00000228716	725428.75892E-6	3.94304E-1	7.77179E-1
h_g2Pathway	22	22	1	505	0.2	21	22950	0.09	CDKN1A	ENSG00000012048,ENSG00000100393,ENSG00000101224,ENSG00000116717,ENSG00000117676,ENSG00000121031,ENSG00000128245,ENSG00000129355,ENSG00000134057,ENSG00000134308,ENSG00000135679,ENSG00000141510,ENSG00000149311,ENSG00000149554,ENSG00000158402,ENSG00000164045,ENSG00000166483,ENSG00000166851,ENSG00000175054,ENSG00000183765,ENSG00000196132	771992.34849E-6	3.80949E-1	7.67542E-1
h_p53hypoxiaPathway	19	19	1	505	0.2	18	22953	0.08	CDKN1A	ENSG00000080824,ENSG00000085563,ENSG00000100393,ENSG00000100644,ENSG00000104825,ENSG00000107643,ENSG00000116717,ENSG00000132002,ENSG00000132383,ENSG00000135679,ENSG00000141510,ENSG00000142208,ENSG00000146674,ENSG00000147133,ENSG00000149311,ENSG00000177374,ENSG00000181019,ENSG00000231555	926273.73873E-6	3.39095E-1	7.20577E-1
