#term	term_size	term_size_in_genome	list1_positives	list1_negatives	list1_percentage	list2_positives	list2_negatives	list2_percentage	list1_positive_ids	list2_positive_ids	odds_ratio_log	pvalue	adj_pvalue
hsa02010	55	55	1	505	0.2	54	22917	0.24	ABCA6	ENSG00000001626,ENSG00000004846,ENSG00000005471,ENSG00000006071,ENSG00000023839,ENSG00000064687,ENSG00000069431,ENSG00000073734,ENSG00000085563,ENSG00000101986,ENSG00000103222,ENSG00000107331,ENSG00000108846,ENSG00000114770,ENSG00000115657,ENSG00000117528,ENSG00000118777,ENSG00000119688,ENSG00000121270,ENSG00000124574,ENSG00000125257,ENSG00000131269,ENSG00000135776,ENSG00000138075,ENSG00000140798,ENSG00000141338,ENSG00000143921,ENSG00000144452,ENSG00000150967,ENSG00000154258,ENSG00000154263,ENSG00000154265,ENSG00000160179,ENSG00000165029,ENSG00000167972,ENSG00000168394,ENSG00000172350,ENSG00000173208,ENSG00000197150,ENSG00000198691,ENSG00000204267,ENSG00000206235,ENSG00000206297,ENSG00000206299,ENSG00000223481,ENSG00000224212,ENSG00000225967,ENSG00000226173,ENSG00000227816,ENSG00000228582,ENSG00000230705,ENSG00000232326,ENSG00000232367,ENSG00000237060	-173908.20363E-6	6.98737E-1	1E0
hsa00230	163	163	3	503	0.59	160	22811	0.7	ADCY9,HOXA5,PAPSS1	ENSG00000004455,ENSG00000005075,ENSG00000011052,ENSG00000013503,ENSG00000014138,ENSG00000035687,ENSG00000047315,ENSG00000048392,ENSG00000054179,ENSG00000061918,ENSG00000062822,ENSG00000065989,ENSG00000066379,ENSG00000067225,ENSG00000068654,ENSG00000070019,ENSG00000073417,ENSG00000076685,ENSG00000077514,ENSG00000078295,ENSG00000095464,ENSG00000099817,ENSG00000100142,ENSG00000100413,ENSG00000100479,ENSG00000100938,ENSG00000101868,ENSG00000101890,ENSG00000101911,ENSG00000102978,ENSG00000103024,ENSG00000103202,ENSG00000105258,ENSG00000105650,ENSG00000106348,ENSG00000106628,ENSG00000106992,ENSG00000112541,ENSG00000112981,ENSG00000113231,ENSG00000113356,ENSG00000113448,ENSG00000114956,ENSG00000115252,ENSG00000115350,ENSG00000116337,ENSG00000116748,ENSG00000116981,ENSG00000119125,ENSG00000121281,ENSG00000121851,ENSG00000122643,ENSG00000123360,ENSG00000125458,ENSG00000125630,ENSG00000125877,ENSG00000128050,ENSG00000128059,ENSG00000128655,ENSG00000129467,ENSG00000132518,ENSG00000132664,ENSG00000132915,ENSG00000133256,ENSG00000133805,ENSG00000135318,ENSG00000137054,ENSG00000137198,ENSG00000138031,ENSG00000138035,ENSG00000138185,ENSG00000138363,ENSG00000138735,ENSG00000139053,ENSG00000140057,ENSG00000143156,ENSG00000143199,ENSG00000143363,ENSG00000143627,ENSG00000143774,ENSG00000144231,ENSG00000146143,ENSG00000147224,ENSG00000147669,ENSG00000148229,ENSG00000148606,ENSG00000151360,ENSG00000152270,ENSG00000152402,ENSG00000154027,ENSG00000154269,ENSG00000154678,ENSG00000155897,ENSG00000156110,ENSG00000156136,ENSG00000156973,ENSG00000158125,ENSG00000159131,ENSG00000159899,ENSG00000160191,ENSG00000161980,ENSG00000162433,ENSG00000163655,ENSG00000163882,ENSG00000164116,ENSG00000164742,ENSG00000164978,ENSG00000165609,ENSG00000165704,ENSG00000167325,ENSG00000168002,ENSG00000168032,ENSG00000168255,ENSG00000168495,ENSG00000169418,ENSG00000170502,ENSG00000171302,ENSG00000171408,ENSG00000171453,ENSG00000171848,ENSG00000172113,ENSG00000172572,ENSG00000173175,ENSG00000174233,ENSG00000175482,ENSG00000177084,ENSG00000177700,ENSG00000178035,ENSG00000178921,ENSG00000181222,ENSG00000184588,ENSG00000185013,ENSG00000185100,ENSG00000185527,ENSG00000186141,ENSG00000186184,ENSG00000186642,ENSG00000187097,ENSG00000188833,ENSG00000189283,ENSG00000196839,ENSG00000197217,ENSG00000197586,ENSG00000197594,ENSG00000198056,ENSG00000198682,ENSG00000198805,ENSG00000198931,ENSG00000205309,ENSG00000206502,ENSG00000224859,ENSG00000229937,ENSG00000233795,ENSG00000235176,ENSG00000235443,ENSG00000236808,ENSG00000236949,ENSG00000239672,ENSG00000239900,ENSG00000243678	-162153.54193E-6	6.85571E-1	1E0
hsa04020	174	176	4	502	0.79	170	22801	0.74	ADCY9,ADRB2,BST1,CALM1	ENSG00000004468,ENSG00000005022,ENSG00000006283,ENSG00000006638,ENSG00000007171,ENSG00000043591,ENSG00000044446,ENSG00000050628,ENSG00000058404,ENSG00000058668,ENSG00000060558,ENSG00000063176,ENSG00000065361,ENSG00000065534,ENSG00000067177,ENSG00000067842,ENSG00000070808,ENSG00000070961,ENSG00000072062,ENSG00000074370,ENSG00000075073,ENSG00000078295,ENSG00000078668,ENSG00000081248,ENSG00000083454,ENSG00000087460,ENSG00000088256,ENSG00000089041,ENSG00000089250,ENSG00000096433,ENSG00000099957,ENSG00000100346,ENSG00000100678,ENSG00000100739,ENSG00000101188,ENSG00000101306,ENSG00000101333,ENSG00000101470,ENSG00000102001,ENSG00000102468,ENSG00000102893,ENSG00000105464,ENSG00000107758,ENSG00000108405,ENSG00000109991,ENSG00000110148,ENSG00000113721,ENSG00000113749,ENSG00000114854,ENSG00000115252,ENSG00000115353,ENSG00000115556,ENSG00000118160,ENSG00000120899,ENSG00000120907,ENSG00000120910,ENSG00000121281,ENSG00000122420,ENSG00000123104,ENSG00000123360,ENSG00000124181,ENSG00000126010,ENSG00000126583,ENSG00000128271,ENSG00000129467,ENSG00000133019,ENSG00000134853,ENSG00000135124,ENSG00000135914,ENSG00000136160,ENSG00000137825,ENSG00000137841,ENSG00000138031,ENSG00000138039,ENSG00000138193,ENSG00000138814,ENSG00000139151,ENSG00000140795,ENSG00000141404,ENSG00000141736,ENSG00000141837,ENSG00000142875,ENSG00000143772,ENSG00000144891,ENSG00000144935,ENSG00000145349,ENSG00000146648,ENSG00000147246,ENSG00000148408,ENSG00000148660,ENSG00000148680,ENSG00000149782,ENSG00000150995,ENSG00000151067,ENSG00000151475,ENSG00000151617,ENSG00000151729,ENSG00000152207,ENSG00000152495,ENSG00000152822,ENSG00000154229,ENSG00000154678,ENSG00000155897,ENSG00000156049,ENSG00000156052,ENSG00000156873,ENSG00000157087,ENSG00000157219,ENSG00000157388,ENSG00000158748,ENSG00000160951,ENSG00000161509,ENSG00000161714,ENSG00000163394,ENSG00000164270,ENSG00000164742,ENSG00000164776,ENSG00000164867,ENSG00000165059,ENSG00000165637,ENSG00000166148,ENSG00000166501,ENSG00000166869,ENSG00000168398,ENSG00000168539,ENSG00000168959,ENSG00000169100,ENSG00000169403,ENSG00000169676,ENSG00000169836,ENSG00000169885,ENSG00000170214,ENSG00000170425,ENSG00000171497,ENSG00000171873,ENSG00000173198,ENSG00000174417,ENSG00000174437,ENSG00000175344,ENSG00000176170,ENSG00000176884,ENSG00000178363,ENSG00000178372,ENSG00000178568,ENSG00000180914,ENSG00000181072,ENSG00000181104,ENSG00000182621,ENSG00000183023,ENSG00000183454,ENSG00000183943,ENSG00000184845,ENSG00000184984,ENSG00000187091,ENSG00000187446,ENSG00000187848,ENSG00000188386,ENSG00000188778,ENSG00000196218,ENSG00000196296,ENSG00000196557,ENSG00000196639,ENSG00000197943,ENSG00000198049,ENSG00000198216,ENSG00000198523,ENSG00000198838,ENSG00000213585,ENSG00000213906,ENSG00000221823	66455.478008E-6	5.18536E-1	9.06269E-1
hsa04062	187	187	13	493	2.57	174	22797	0.76	ADCY9,CCL2,CRK,CXCL2,CXCL3,GNGT2,GRK5,HOXA5,NFKBIA,PREX1,RHOA,SOX17,STAT5B	ENSG00000000938,ENSG00000006074,ENSG00000006075,ENSG00000006210,ENSG00000006606,ENSG00000015285,ENSG00000050820,ENSG00000051382,ENSG00000065135,ENSG00000067606,ENSG00000067900,ENSG00000068831,ENSG00000069966,ENSG00000070831,ENSG00000072062,ENSG00000073009,ENSG00000078295,ENSG00000078369,ENSG00000082701,ENSG00000089159,ENSG00000096968,ENSG00000099942,ENSG00000100030,ENSG00000100077,ENSG00000100485,ENSG00000101333,ENSG00000101336,ENSG00000102882,ENSG00000102962,ENSG00000102970,ENSG00000103653,ENSG00000104825,ENSG00000105221,ENSG00000105639,ENSG00000105647,ENSG00000105723,ENSG00000105851,ENSG00000106178,ENSG00000106299,ENSG00000107562,ENSG00000108688,ENSG00000108700,ENSG00000108702,ENSG00000109272,ENSG00000109320,ENSG00000111664,ENSG00000112486,ENSG00000113263,ENSG00000114124,ENSG00000114353,ENSG00000114450,ENSG00000115009,ENSG00000115415,ENSG00000115904,ENSG00000116473,ENSG00000117020,ENSG00000117461,ENSG00000118689,ENSG00000120899,ENSG00000121281,ENSG00000121807,ENSG00000121879,ENSG00000121966,ENSG00000124875,ENSG00000125388,ENSG00000126353,ENSG00000127314,ENSG00000127588,ENSG00000127920,ENSG00000127928,ENSG00000127955,ENSG00000128340,ENSG00000129277,ENSG00000129467,ENSG00000129946,ENSG00000131142,ENSG00000132155,ENSG00000133703,ENSG00000134215,ENSG00000134318,ENSG00000134516,ENSG00000136238,ENSG00000137077,ENSG00000137486,ENSG00000137841,ENSG00000138031,ENSG00000138755,ENSG00000141480,ENSG00000141506,ENSG00000141968,ENSG00000142208,ENSG00000142875,ENSG00000143184,ENSG00000143185,ENSG00000145675,ENSG00000145824,ENSG00000146426,ENSG00000147507,ENSG00000148498,ENSG00000149269,ENSG00000149782,ENSG00000151882,ENSG00000155849,ENSG00000155897,ENSG00000156234,ENSG00000156299,ENSG00000157764,ENSG00000160293,ENSG00000160683,ENSG00000160691,ENSG00000160791,ENSG00000161570,ENSG00000161573,ENSG00000161574,ENSG00000161921,ENSG00000162188,ENSG00000163464,ENSG00000163735,ENSG00000163736,ENSG00000163737,ENSG00000163739,ENSG00000163823,ENSG00000163932,ENSG00000164742,ENSG00000165059,ENSG00000165178,ENSG00000166501,ENSG00000167236,ENSG00000167414,ENSG00000168243,ENSG00000168329,ENSG00000168610,ENSG00000169032,ENSG00000169245,ENSG00000169248,ENSG00000169398,ENSG00000169429,ENSG00000170581,ENSG00000171608,ENSG00000172156,ENSG00000172215,ENSG00000172354,ENSG00000172380,ENSG00000172724,ENSG00000173020,ENSG00000173039,ENSG00000173175,ENSG00000173578,ENSG00000173585,ENSG00000174021,ENSG00000174233,ENSG00000174775,ENSG00000176533,ENSG00000177885,ENSG00000179934,ENSG00000180871,ENSG00000181374,ENSG00000182621,ENSG00000183813,ENSG00000183943,ENSG00000184451,ENSG00000185634,ENSG00000185974,ENSG00000186469,ENSG00000186810,ENSG00000197262,ENSG00000198055,ENSG00000205020,ENSG00000205021,ENSG00000213281,ENSG00000213341,ENSG00000213494,ENSG00000213927,ENSG00000242616	1.2397691115E0	2.2144E-4	1.43198E-2
hsa04114	105	108	4	502	0.79	101	22870	0.44	ADCY9,CALM1,HOXA5,PPP2CB	ENSG00000017427,ENSG00000053900,ENSG00000055130,ENSG00000058404,ENSG00000065613,ENSG00000066027,ENSG00000066923,ENSG00000068971,ENSG00000070808,ENSG00000071242,ENSG00000072062,ENSG00000072133,ENSG00000072501,ENSG00000072803,ENSG00000077935,ENSG00000078295,ENSG00000078304,ENSG00000082175,ENSG00000087586,ENSG00000094880,ENSG00000096433,ENSG00000100030,ENSG00000100387,ENSG00000100918,ENSG00000102882,ENSG00000105173,ENSG00000105568,ENSG00000107758,ENSG00000108055,ENSG00000108953,ENSG00000112029,ENSG00000112640,ENSG00000113558,ENSG00000113575,ENSG00000116670,ENSG00000117399,ENSG00000117676,ENSG00000120910,ENSG00000121281,ENSG00000123104,ENSG00000123374,ENSG00000127564,ENSG00000128245,ENSG00000129055,ENSG00000129467,ENSG00000129810,ENSG00000129965,ENSG00000130177,ENSG00000134057,ENSG00000134308,ENSG00000135476,ENSG00000137713,ENSG00000138031,ENSG00000138814,ENSG00000139151,ENSG00000140443,ENSG00000141552,ENSG00000142875,ENSG00000145349,ENSG00000148660,ENSG00000150995,ENSG00000153107,ENSG00000154001,ENSG00000155897,ENSG00000156509,ENSG00000157456,ENSG00000158402,ENSG00000163806,ENSG00000164109,ENSG00000164162,ENSG00000164611,ENSG00000164742,ENSG00000164924,ENSG00000165059,ENSG00000166167,ENSG00000166851,ENSG00000166869,ENSG00000166913,ENSG00000169032,ENSG00000169083,ENSG00000169679,ENSG00000169885,ENSG00000170027,ENSG00000172531,ENSG00000172680,ENSG00000173175,ENSG00000174233,ENSG00000175305,ENSG00000176248,ENSG00000176386,ENSG00000177189,ENSG00000178363,ENSG00000178372,ENSG00000183943,ENSG00000186298,ENSG00000187446,ENSG00000188130,ENSG00000188386,ENSG00000204710,ENSG00000214575,ENSG00000221823	590155.0116E-6	1.91211E-1	5.53657E-1
hsa04270	121	123	5	501	0.99	116	22855	0.5	ADCY9,CALM1,HOXA5,PRKCE,RHOA	ENSG00000027075,ENSG00000058272,ENSG00000061918,ENSG00000064989,ENSG00000065534,ENSG00000065675,ENSG00000067900,ENSG00000069764,ENSG00000072062,ENSG00000072952,ENSG00000076928,ENSG00000077157,ENSG00000078061,ENSG00000078295,ENSG00000078401,ENSG00000081248,ENSG00000087460,ENSG00000088256,ENSG00000092841,ENSG00000096433,ENSG00000100030,ENSG00000100078,ENSG00000101200,ENSG00000101306,ENSG00000101333,ENSG00000101335,ENSG00000102001,ENSG00000102882,ENSG00000107796,ENSG00000110680,ENSG00000116711,ENSG00000117215,ENSG00000120063,ENSG00000120907,ENSG00000120937,ENSG00000121281,ENSG00000122679,ENSG00000122786,ENSG00000123104,ENSG00000123739,ENSG00000124205,ENSG00000126583,ENSG00000126934,ENSG00000127129,ENSG00000127472,ENSG00000128271,ENSG00000129467,ENSG00000131477,ENSG00000132155,ENSG00000132329,ENSG00000132694,ENSG00000133392,ENSG00000134318,ENSG00000135643,ENSG00000135744,ENSG00000137841,ENSG00000138031,ENSG00000138308,ENSG00000140795,ENSG00000142875,ENSG00000144891,ENSG00000145936,ENSG00000146535,ENSG00000148926,ENSG00000149782,ENSG00000150995,ENSG00000151067,ENSG00000151617,ENSG00000152402,ENSG00000154229,ENSG00000155897,ENSG00000156052,ENSG00000156113,ENSG00000157388,ENSG00000157764,ENSG00000158786,ENSG00000159899,ENSG00000160013,ENSG00000162365,ENSG00000163017,ENSG00000163273,ENSG00000163932,ENSG00000164116,ENSG00000164742,ENSG00000165059,ENSG00000166148,ENSG00000166501,ENSG00000167641,ENSG00000168970,ENSG00000169032,ENSG00000169418,ENSG00000169885,ENSG00000170214,ENSG00000170425,ENSG00000170890,ENSG00000171121,ENSG00000171873,ENSG00000172531,ENSG00000173175,ENSG00000174233,ENSG00000175206,ENSG00000178363,ENSG00000178372,ENSG00000182621,ENSG00000183943,ENSG00000184381,ENSG00000185532,ENSG00000186298,ENSG00000187048,ENSG00000187980,ENSG00000188257,ENSG00000188784,ENSG00000196465,ENSG00000196914,ENSG00000197584,ENSG00000198049	676166.81101E-6	1.21013E-1	4.40306E-1
hsa04540	95	95	4	502	0.79	91	22880	0.4	ADCY9,TUBA1A,TUBB1,TUBB6	ENSG00000043591,ENSG00000061918,ENSG00000065135,ENSG00000072062,ENSG00000075886,ENSG00000078295,ENSG00000087460,ENSG00000088256,ENSG00000096433,ENSG00000100030,ENSG00000100311,ENSG00000100485,ENSG00000101333,ENSG00000102468,ENSG00000102882,ENSG00000104067,ENSG00000104833,ENSG00000113721,ENSG00000114353,ENSG00000115904,ENSG00000121281,ENSG00000123104,ENSG00000123416,ENSG00000126583,ENSG00000126934,ENSG00000127589,ENSG00000127824,ENSG00000127955,ENSG00000129467,ENSG00000132155,ENSG00000133703,ENSG00000134853,ENSG00000135914,ENSG00000137267,ENSG00000137285,ENSG00000137764,ENSG00000137841,ENSG00000138031,ENSG00000138669,ENSG00000138798,ENSG00000141551,ENSG00000142875,ENSG00000145431,ENSG00000146648,ENSG00000147246,ENSG00000149295,ENSG00000149782,ENSG00000150995,ENSG00000152086,ENSG00000152402,ENSG00000152661,ENSG00000152822,ENSG00000154229,ENSG00000155897,ENSG00000156052,ENSG00000159248,ENSG00000164116,ENSG00000164742,ENSG00000165059,ENSG00000166484,ENSG00000166501,ENSG00000167553,ENSG00000168959,ENSG00000169032,ENSG00000169967,ENSG00000170962,ENSG00000173175,ENSG00000174233,ENSG00000174775,ENSG00000177885,ENSG00000178462,ENSG00000182621,ENSG00000183311,ENSG00000183785,ENSG00000183943,ENSG00000184845,ENSG00000185532,ENSG00000188229,ENSG00000196230,ENSG00000197122,ENSG00000197461,ENSG00000198033,ENSG00000198121,ENSG00000198211,ENSG00000213281,ENSG00000224156,ENSG00000227739,ENSG00000229684,ENSG00000232421,ENSG00000232575,ENSG00000235067	694853.18041E-6	1.49255E-1	4.7468E-1
hsa04912	97	99	3	503	0.59	94	22877	0.41	ADCY9,CALM1,JUN	ENSG00000034152,ENSG00000050748,ENSG00000058404,ENSG00000065559,ENSG00000069764,ENSG00000070808,ENSG00000070831,ENSG00000072062,ENSG00000075651,ENSG00000076984,ENSG00000078295,ENSG00000081248,ENSG00000085511,ENSG00000087245,ENSG00000087460,ENSG00000088256,ENSG00000095015,ENSG00000096433,ENSG00000100030,ENSG00000100078,ENSG00000100485,ENSG00000101333,ENSG00000102001,ENSG00000102882,ENSG00000104826,ENSG00000107643,ENSG00000108984,ENSG00000109163,ENSG00000109339,ENSG00000112062,ENSG00000113070,ENSG00000115904,ENSG00000116711,ENSG00000117215,ENSG00000120899,ENSG00000121281,ENSG00000123104,ENSG00000123739,ENSG00000125787,ENSG00000126767,ENSG00000126934,ENSG00000127472,ENSG00000128272,ENSG00000129219,ENSG00000129467,ENSG00000131808,ENSG00000132155,ENSG00000133703,ENSG00000135346,ENSG00000137841,ENSG00000138031,ENSG00000138308,ENSG00000142875,ENSG00000145349,ENSG00000146648,ENSG00000147437,ENSG00000148660,ENSG00000149782,ENSG00000150995,ENSG00000151067,ENSG00000154229,ENSG00000155897,ENSG00000156052,ENSG00000156711,ENSG00000157227,ENSG00000157388,ENSG00000158786,ENSG00000163932,ENSG00000164742,ENSG00000165059,ENSG00000166484,ENSG00000166501,ENSG00000168970,ENSG00000169032,ENSG00000169885,ENSG00000169967,ENSG00000170890,ENSG00000173175,ENSG00000174233,ENSG00000174775,ENSG00000177885,ENSG00000178363,ENSG00000178372,ENSG00000182621,ENSG00000183943,ENSG00000184381,ENSG00000185386,ENSG00000187980,ENSG00000188130,ENSG00000188257,ENSG00000188784,ENSG00000197122,ENSG00000198909,ENSG00000213281	372614.65431E-6	3.48138E-1	7.86457E-1
hsa04914	82	82	2	504	0.4	80	22891	0.35	ADCY9,HOXA5	ENSG00000017427,ENSG00000050748,ENSG00000051382,ENSG00000053900,ENSG00000065135,ENSG00000071242,ENSG00000072062,ENSG00000072133,ENSG00000078061,ENSG00000078295,ENSG00000080824,ENSG00000082175,ENSG00000094880,ENSG00000096384,ENSG00000100030,ENSG00000101224,ENSG00000102882,ENSG00000105221,ENSG00000105325,ENSG00000105647,ENSG00000105851,ENSG00000107643,ENSG00000109339,ENSG00000112062,ENSG00000114353,ENSG00000116670,ENSG00000117020,ENSG00000117461,ENSG00000117676,ENSG00000121281,ENSG00000121879,ENSG00000123374,ENSG00000127564,ENSG00000127955,ENSG00000129055,ENSG00000129467,ENSG00000129965,ENSG00000130177,ENSG00000132155,ENSG00000133101,ENSG00000133703,ENSG00000134057,ENSG00000138031,ENSG00000140443,ENSG00000141506,ENSG00000141552,ENSG00000142208,ENSG00000142875,ENSG00000145386,ENSG00000145675,ENSG00000147082,ENSG00000152270,ENSG00000153107,ENSG00000155897,ENSG00000156711,ENSG00000157456,ENSG00000157764,ENSG00000158402,ENSG00000163806,ENSG00000164045,ENSG00000164109,ENSG00000164162,ENSG00000164742,ENSG00000165059,ENSG00000166851,ENSG00000169032,ENSG00000169679,ENSG00000171608,ENSG00000172572,ENSG00000172680,ENSG00000173175,ENSG00000174233,ENSG00000176248,ENSG00000176386,ENSG00000177189,ENSG00000183943,ENSG00000185386,ENSG00000188130,ENSG00000204710,ENSG00000214575	127043.37701E-6	5.303E-1	9.10426E-1
hsa04916	99	101	4	502	0.79	95	22876	0.41	ADCY9,CALM1,FZD4,SOX17	ENSG00000002745,ENSG00000004975,ENSG00000005339,ENSG00000049130,ENSG00000058404,ENSG00000060566,ENSG00000061492,ENSG00000065135,ENSG00000070808,ENSG00000072062,ENSG00000075290,ENSG00000077498,ENSG00000078295,ENSG00000078401,ENSG00000080166,ENSG00000081059,ENSG00000082701,ENSG00000085741,ENSG00000087258,ENSG00000087460,ENSG00000100030,ENSG00000100393,ENSG00000101333,ENSG00000101440,ENSG00000102882,ENSG00000104290,ENSG00000105989,ENSG00000107165,ENSG00000107175,ENSG00000107404,ENSG00000108379,ENSG00000111186,ENSG00000111432,ENSG00000114251,ENSG00000114353,ENSG00000115138,ENSG00000115596,ENSG00000118260,ENSG00000121281,ENSG00000125084,ENSG00000126583,ENSG00000126934,ENSG00000127955,ENSG00000129467,ENSG00000132155,ENSG00000133703,ENSG00000134245,ENSG00000135925,ENSG00000136160,ENSG00000137841,ENSG00000138031,ENSG00000138795,ENSG00000142875,ENSG00000143578,ENSG00000143816,ENSG00000145349,ENSG00000148660,ENSG00000148737,ENSG00000149782,ENSG00000152284,ENSG00000154229,ENSG00000154342,ENSG00000154764,ENSG00000155760,ENSG00000155897,ENSG00000156052,ENSG00000157240,ENSG00000157613,ENSG00000158955,ENSG00000161202,ENSG00000162552,ENSG00000163251,ENSG00000164742,ENSG00000164930,ENSG00000165059,ENSG00000166501,ENSG00000168036,ENSG00000169032,ENSG00000169884,ENSG00000169885,ENSG00000173175,ENSG00000174233,ENSG00000174775,ENSG00000177283,ENSG00000178363,ENSG00000178372,ENSG00000180340,ENSG00000182158,ENSG00000182621,ENSG00000183943,ENSG00000187098,ENSG00000188064,ENSG00000188763,ENSG00000198211,ENSG00000213281	651660.95486E-6	1.65593E-1	4.88409E-1
