#term	term_size	term_size_in_genome	list1_positives	list1_negatives	list1_percentage	list2_positives	list2_negatives	list2_percentage	list1_positive_ids	list2_positive_ids	odds_ratio_log	pvalue	adj_pvalue
h_alkPathway	18	30	4	949	0.42	14	18171	0.08	ACVR1,FOXC1,FOXL1,MZF1	ENSG00000035928,ENSG00000069702,ENSG00000106799,ENSG00000107779,ENSG00000112175,ENSG00000119699,ENSG00000134982,ENSG00000135100,ENSG00000137834,ENSG00000157240,ENSG00000163217,ENSG00000168036,ENSG00000183072,ENSG00000204217	1.6994104285E0	1.06803E-2	3.37795E-2
h_rhoPathway	16	17	3	950	0.31	13	18172	0.07	ARHGAP1,FOXC1,FOXL1	ENSG00000047648,ENSG00000050327,ENSG00000067560,ENSG00000067900,ENSG00000077157,ENSG00000089820,ENSG00000100852,ENSG00000106683,ENSG00000107242,ENSG00000132694,ENSG00000137076,ENSG00000143398,ENSG00000235865	1.4848381735E0	4.24294E-2	7.5305E-2
h_gleevecpathway	11	20	5	948	0.52	6	18179	0.03	BCR,FOXC1,FOXL1,MAP3K1,MZF1	ENSG00000065559,ENSG00000096968,ENSG00000102882,ENSG00000121879,ENSG00000142208,ENSG00000225134	2.7713463017E0	1.0883E-4	2.85937E-3
h_integrinPathway	18	26	5	948	0.52	13	18172	0.07	BCR,FOXC1,FOXL1,MZF1,SHC1	ENSG00000067560,ENSG00000067900,ENSG00000077157,ENSG00000077522,ENSG00000079308,ENSG00000102882,ENSG00000103653,ENSG00000105974,ENSG00000107263,ENSG00000116473,ENSG00000137076,ENSG00000143632,ENSG00000150093	1.9977712796E0	1.50747E-3	8.80499E-3
h_nktPathway	16	18	4	949	0.42	12	18173	0.07	CCR7,FOXC1,FOXL1,MZF1	ENSG00000077238,ENSG00000109471,ENSG00000113525,ENSG00000115604,ENSG00000119699,ENSG00000121966,ENSG00000159128,ENSG00000160791,ENSG00000163823,ENSG00000178562,ENSG00000183625,ENSG00000186810	1.8536711678E0	6.87553E-3	2.42876E-2
h_cpsfPathway	8	8	3	950	0.31	5	18180	0.03	CPSF4,FOXC1,FOXL1	ENSG00000071894,ENSG00000101138,ENSG00000101811,ENSG00000119203,ENSG00000165934	2.4407897594E0	5.7083E-3	2.11657E-2
h_etsPathway	10	15	4	949	0.42	6	18179	0.03	E2F4,FOXC1,FOXL1,MZF1	ENSG00000080839,ENSG00000127511,ENSG00000134954,ENSG00000157557,ENSG00000169375,ENSG00000182578	2.547148454E0	1.00777E-3	7.02855E-3
h_eif2Pathway	10	10	4	949	0.42	6	18179	0.03	EIF2AK3,EIF2S2,FOXL1,MZF1	ENSG00000055332,ENSG00000086232,ENSG00000100664,ENSG00000128829,ENSG00000130741,ENSG00000145191	2.547148454E0	1.00777E-3	7.02855E-3
h_eifPathway	11	13	3	950	0.31	8	18177	0.04	EIF2S2,FOXL1,MZF1	ENSG00000075151,ENSG00000100664,ENSG00000107581,ENSG00000110321,ENSG00000114867,ENSG00000130741,ENSG00000156976,ENSG00000173674	1.9706211E0	1.50365E-2	3.93263E-2
h_igf1mtorpathway	15	18	5	948	0.52	10	18175	0.05	EIF2S2,FOXC1,FOXL1,MTOR,MZF1	ENSG00000005882,ENSG00000017427,ENSG00000121879,ENSG00000130741,ENSG00000140443,ENSG00000142208,ENSG00000145191,ENSG00000165458,ENSG00000171862,ENSG00000225134	2.2603006196E0	5.98543E-4	5.70677E-3
