#term	term_size	term_size_in_genome	list1_positives	list1_negatives	list1_percentage	list2_positives	list2_negatives	list2_percentage	list1_positive_ids	list2_positive_ids	odds_ratio_log	pvalue	adj_pvalue
hsa00970	33	42	5	948	0.52	28	18157	0.15	AARS,FOXC1,FOXL1,HARS2,MZF1	ENSG00000011376,ENSG00000031698,ENSG00000067704,ENSG00000096171,ENSG00000103707,ENSG00000106105,ENSG00000109618,ENSG00000113407,ENSG00000113643,ENSG00000115866,ENSG00000116874,ENSG00000117593,ENSG00000124608,ENSG00000133706,ENSG00000134440,ENSG00000134684,ENSG00000134905,ENSG00000137513,ENSG00000139131,ENSG00000140105,ENSG00000143374,ENSG00000145982,ENSG00000166986,ENSG00000172053,ENSG00000179988,ENSG00000185418,ENSG00000226589,ENSG00000236178	1.2296903403E0	2.25591E-2	5.91414E-2
hsa02010	42	55	6	947	0.63	36	18149	0.2	ABCD1,ELK1,FOXC1,FOXL1,MZF1,TAP2	ENSG00000001626,ENSG00000005471,ENSG00000006071,ENSG00000023839,ENSG00000069431,ENSG00000073734,ENSG00000085563,ENSG00000103222,ENSG00000107331,ENSG00000108846,ENSG00000115657,ENSG00000117528,ENSG00000118777,ENSG00000119688,ENSG00000121270,ENSG00000131269,ENSG00000138075,ENSG00000140798,ENSG00000141338,ENSG00000143921,ENSG00000150967,ENSG00000154262,ENSG00000154263,ENSG00000154265,ENSG00000160179,ENSG00000167972,ENSG00000168394,ENSG00000172350,ENSG00000197150,ENSG00000206297,ENSG00000224212,ENSG00000226173,ENSG00000227816,ENSG00000230705,ENSG00000232367,ENSG00000237060	1.1613121793E0	1.69994E-2	5.52741E-2
hsa04510	156	207	12	941	1.26	144	18041	0.79	ACTG1,AKT2,ELK1,FOXC1,FOXL1,HRAS,ITGB3,MZF1,PAK1,PPP1CA,SHC1,XIAP	ENSG00000002330,ENSG00000005961,ENSG00000010810,ENSG00000017427,ENSG00000019991,ENSG00000023445,ENSG00000037280,ENSG00000041982,ENSG00000051382,ENSG00000053747,ENSG00000058085,ENSG00000058335,ENSG00000060718,ENSG00000065534,ENSG00000067560,ENSG00000067900,ENSG00000070831,ENSG00000075624,ENSG00000077264,ENSG00000077522,ENSG00000080573,ENSG00000081052,ENSG00000082781,ENSG00000089159,ENSG00000091128,ENSG00000091136,ENSG00000099942,ENSG00000100311,ENSG00000100485,ENSG00000100852,ENSG00000101335,ENSG00000101349,ENSG00000101608,ENSG00000102755,ENSG00000102882,ENSG00000105664,ENSG00000105855,ENSG00000105971,ENSG00000105974,ENSG00000105976,ENSG00000106631,ENSG00000107263,ENSG00000109072,ENSG00000109339,ENSG00000110330,ENSG00000110799,ENSG00000112576,ENSG00000112715,ENSG00000112769,ENSG00000113296,ENSG00000113721,ENSG00000115221,ENSG00000115232,ENSG00000115414,ENSG00000116147,ENSG00000116473,ENSG00000117461,ENSG00000118680,ENSG00000118785,ENSG00000118971,ENSG00000119630,ENSG00000121879,ENSG00000125753,ENSG00000127314,ENSG00000128052,ENSG00000128340,ENSG00000128591,ENSG00000129946,ENSG00000130402,ENSG00000130635,ENSG00000130669,ENSG00000130702,ENSG00000132470,ENSG00000134215,ENSG00000134318,ENSG00000135424,ENSG00000136068,ENSG00000136238,ENSG00000136457,ENSG00000137076,ENSG00000137801,ENSG00000137809,ENSG00000137843,ENSG00000138448,ENSG00000138798,ENSG00000138964,ENSG00000140443,ENSG00000140795,ENSG00000141506,ENSG00000141736,ENSG00000141968,ENSG00000142156,ENSG00000142173,ENSG00000142208,ENSG00000144668,ENSG00000145431,ENSG00000146648,ENSG00000148082,ENSG00000150093,ENSG00000150760,ENSG00000154229,ENSG00000160007,ENSG00000160293,ENSG00000162909,ENSG00000163359,ENSG00000164692,ENSG00000165197,ENSG00000166333,ENSG00000168036,ENSG00000168477,ENSG00000169398,ENSG00000169750,ENSG00000171608,ENSG00000171862,ENSG00000171914,ENSG00000172037,ENSG00000180209,ENSG00000180370,ENSG00000182533,ENSG00000186111,ENSG00000186298,ENSG00000186340,ENSG00000188677,ENSG00000196878,ENSG00000196924,ENSG00000197122,ENSG00000197461,ENSG00000197565,ENSG00000197702,ENSG00000204248,ENSG00000204262,ENSG00000206258,ENSG00000206290,ENSG00000206384,ENSG00000213639,ENSG00000213949,ENSG00000215375,ENSG00000227801,ENSG00000230930,ENSG00000231608,ENSG00000233323,ENSG00000235708,ENSG00000236221,ENSG00000236236	468552.43508E-6	8.96154E-2	1.44878E-1
hsa04520	60	80	6	947	0.63	54	18131	0.3	ACTG1,FOXC1,FOXL1,MZF1,NLK,WASL	ENSG00000005339,ENSG00000010810,ENSG00000015285,ENSG00000019549,ENSG00000039068,ENSG00000044115,ENSG00000067560,ENSG00000070770,ENSG00000070831,ENSG00000075624,ENSG00000077522,ENSG00000077782,ENSG00000081059,ENSG00000095637,ENSG00000100393,ENSG00000102882,ENSG00000105976,ENSG00000106799,ENSG00000110400,ENSG00000111679,ENSG00000112290,ENSG00000128340,ENSG00000130202,ENSG00000130396,ENSG00000130402,ENSG00000132970,ENSG00000135503,ENSG00000136153,ENSG00000136238,ENSG00000140443,ENSG00000140575,ENSG00000141736,ENSG00000143727,ENSG00000146648,ENSG00000149177,ENSG00000151422,ENSG00000158195,ENSG00000166949,ENSG00000168036,ENSG00000169750,ENSG00000173482,ENSG00000175387,ENSG00000175866,ENSG00000176105,ENSG00000183230,ENSG00000196396,ENSG00000197122,ENSG00000204435,ENSG00000206406,ENSG00000224398,ENSG00000224774,ENSG00000228875,ENSG00000230700,ENSG00000232960	754854.7889E-6	7.7211E-2	1.32557E-1
hsa04530	108	136	13	940	1.36	95	18090	0.52	ACTG1,AKT2,ASH1L,CLDN1,ELK1,FOXC1,FOXL1,HRAS,LLGL1,MZF1,NRAS,RAB13,TJP2	ENSG00000006788,ENSG00000044115,ENSG00000060138,ENSG00000065675,ENSG00000067560,ENSG00000067606,ENSG00000070770,ENSG00000070831,ENSG00000073350,ENSG00000074211,ENSG00000075624,ENSG00000077522,ENSG00000078814,ENSG00000079819,ENSG00000081026,ENSG00000082397,ENSG00000088367,ENSG00000092054,ENSG00000101335,ENSG00000101558,ENSG00000101608,ENSG00000102981,ENSG00000105289,ENSG00000105357,ENSG00000105568,ENSG00000106404,ENSG00000106631,ENSG00000109061,ENSG00000109063,ENSG00000113575,ENSG00000114353,ENSG00000118680,ENSG00000124171,ENSG00000125414,ENSG00000125755,ENSG00000126458,ENSG00000127955,ENSG00000130396,ENSG00000130402,ENSG00000130545,ENSG00000131558,ENSG00000133020,ENSG00000133026,ENSG00000133392,ENSG00000133703,ENSG00000135446,ENSG00000141048,ENSG00000142208,ENSG00000143375,ENSG00000144821,ENSG00000147044,ENSG00000151276,ENSG00000154229,ENSG00000154721,ENSG00000156282,ENSG00000156284,ENSG00000158186,ENSG00000158769,ENSG00000159261,ENSG00000163558,ENSG00000163932,ENSG00000164007,ENSG00000165215,ENSG00000165376,ENSG00000166086,ENSG00000168036,ENSG00000169213,ENSG00000171217,ENSG00000171862,ENSG00000175470,ENSG00000176105,ENSG00000177300,ENSG00000180104,ENSG00000180209,ENSG00000180353,ENSG00000181885,ENSG00000183067,ENSG00000183230,ENSG00000184113,ENSG00000184697,ENSG00000187391,ENSG00000189143,ENSG00000197122,ENSG00000197616,ENSG00000197694,ENSG00000204435,ENSG00000206406,ENSG00000213937,ENSG00000215375,ENSG00000221914,ENSG00000224398,ENSG00000224774,ENSG00000228875,ENSG00000230700,ENSG00000232960	968307.16899E-6	2.74835E-3	1.77727E-2
hsa04670	88	113	8	945	0.84	80	18105	0.44	ACTG1,CLDN1,CYBA,ELK1,FOXC1,FOXL1,MZF1,RHOH	ENSG00000002586,ENSG00000005844,ENSG00000007952,ENSG00000044115,ENSG00000051382,ENSG00000067560,ENSG00000067900,ENSG00000070831,ENSG00000074966,ENSG00000075624,ENSG00000077522,ENSG00000079337,ENSG00000087245,ENSG00000089159,ENSG00000090339,ENSG00000100852,ENSG00000100985,ENSG00000101335,ENSG00000101608,ENSG00000106404,ENSG00000106631,ENSG00000107562,ENSG00000112062,ENSG00000113263,ENSG00000114353,ENSG00000115232,ENSG00000116473,ENSG00000117461,ENSG00000118680,ENSG00000120899,ENSG00000121879,ENSG00000121966,ENSG00000124181,ENSG00000125753,ENSG00000127314,ENSG00000127955,ENSG00000128340,ENSG00000130396,ENSG00000130402,ENSG00000134215,ENSG00000134318,ENSG00000136238,ENSG00000141506,ENSG00000141968,ENSG00000147065,ENSG00000149564,ENSG00000150093,ENSG00000154229,ENSG00000154721,ENSG00000156282,ENSG00000156284,ENSG00000156711,ENSG00000158769,ENSG00000159261,ENSG00000160007,ENSG00000160255,ENSG00000160293,ENSG00000164007,ENSG00000165178,ENSG00000165215,ENSG00000165376,ENSG00000166086,ENSG00000168036,ENSG00000169398,ENSG00000171217,ENSG00000171608,ENSG00000177300,ENSG00000179295,ENSG00000179776,ENSG00000180209,ENSG00000181885,ENSG00000183230,ENSG00000184113,ENSG00000184697,ENSG00000185386,ENSG00000188130,ENSG00000189143,ENSG00000213445,ENSG00000213937,ENSG00000215375	650173.40171E-6	7.15886E-2	1.30485E-1
hsa04810	156	209	11	942	1.15	145	18040	0.8	ACTG1,FOXC1,FOXL1,HRAS,ITGB3,MZF1,NRAS,PAK1,PPP1CA,SSH3,WASL	ENSG00000005844,ENSG00000005961,ENSG00000006747,ENSG00000015285,ENSG00000027644,ENSG00000051382,ENSG00000055163,ENSG00000061676,ENSG00000065534,ENSG00000067560,ENSG00000067900,ENSG00000070087,ENSG00000070193,ENSG00000070388,ENSG00000070831,ENSG00000075624,ENSG00000076928,ENSG00000077264,ENSG00000077522,ENSG00000077782,ENSG00000078061,ENSG00000078579,ENSG00000082781,ENSG00000083457,ENSG00000089159,ENSG00000090020,ENSG00000099942,ENSG00000100311,ENSG00000100485,ENSG00000101335,ENSG00000101349,ENSG00000101608,ENSG00000102466,ENSG00000102606,ENSG00000102678,ENSG00000102882,ENSG00000103653,ENSG00000105357,ENSG00000105550,ENSG00000105855,ENSG00000106631,ENSG00000106683,ENSG00000107242,ENSG00000107831,ENSG00000108262,ENSG00000108518,ENSG00000111241,ENSG00000112290,ENSG00000113578,ENSG00000113721,ENSG00000114279,ENSG00000115221,ENSG00000115232,ENSG00000115414,ENSG00000117461,ENSG00000118680,ENSG00000118972,ENSG00000120063,ENSG00000121879,ENSG00000126458,ENSG00000126934,ENSG00000127084,ENSG00000128340,ENSG00000129675,ENSG00000129682,ENSG00000129965,ENSG00000130402,ENSG00000130429,ENSG00000130669,ENSG00000132470,ENSG00000133019,ENSG00000133026,ENSG00000133703,ENSG00000134215,ENSG00000134318,ENSG00000134982,ENSG00000135424,ENSG00000136002,ENSG00000136238,ENSG00000136950,ENSG00000137710,ENSG00000137809,ENSG00000137843,ENSG00000138443,ENSG00000138448,ENSG00000138685,ENSG00000138798,ENSG00000139734,ENSG00000140285,ENSG00000140575,ENSG00000140795,ENSG00000141506,ENSG00000141720,ENSG00000141968,ENSG00000143398,ENSG00000144668,ENSG00000145431,ENSG00000145703,ENSG00000146535,ENSG00000146648,ENSG00000147065,ENSG00000147202,ENSG00000148180,ENSG00000150093,ENSG00000150760,ENSG00000150867,ENSG00000154620,ENSG00000156427,ENSG00000156886,ENSG00000158186,ENSG00000158195,ENSG00000160007,ENSG00000160255,ENSG00000160293,ENSG00000160867,ENSG00000161958,ENSG00000162344,ENSG00000163466,ENSG00000165410,ENSG00000166908,ENSG00000168398,ENSG00000168539,ENSG00000169398,ENSG00000169750,ENSG00000170458,ENSG00000171608,ENSG00000172380,ENSG00000172680,ENSG00000172757,ENSG00000175866,ENSG00000176732,ENSG00000180209,ENSG00000180370,ENSG00000180720,ENSG00000181104,ENSG00000183856,ENSG00000186111,ENSG00000186298,ENSG00000187653,ENSG00000196570,ENSG00000197461,ENSG00000205542,ENSG00000213639,ENSG00000213949,ENSG00000215375	373503.04942E-6	1.55546E-1	2.09555E-1
hsa05110	51	60	9	944	0.94	42	18143	0.23	ACTG1,ATP6V0E2,ATP6V1C1,ATP6V1G1,ELK1,FOXC1,FOXL1,MZF1,TJP2	ENSG00000001626,ENSG00000033627,ENSG00000047249,ENSG00000053918,ENSG00000064651,ENSG00000065665,ENSG00000071553,ENSG00000075624,ENSG00000087460,ENSG00000105438,ENSG00000105929,ENSG00000106803,ENSG00000110719,ENSG00000113732,ENSG00000116039,ENSG00000117410,ENSG00000124181,ENSG00000128524,ENSG00000132432,ENSG00000136240,ENSG00000138031,ENSG00000143882,ENSG00000147416,ENSG00000147614,ENSG00000151418,ENSG00000154229,ENSG00000159720,ENSG00000162104,ENSG00000165059,ENSG00000171142,ENSG00000183943,ENSG00000185344,ENSG00000185883,ENSG00000197930,ENSG00000198788,ENSG00000206445,ENSG00000213760,ENSG00000226850,ENSG00000227587,ENSG00000230900,ENSG00000234668,ENSG00000234920	1.4154688833E0	8.35279E-4	9.00245E-3
hsa05130	47	61	10	943	1.05	37	18148	0.2	ACTG1,CLDN1,ELK1,FOXC1,FOXL1,MZF1,NCK2,TUBB,WASL,YWHAZ	ENSG00000010810,ENSG00000015285,ENSG00000039068,ENSG00000067560,ENSG00000067900,ENSG00000070831,ENSG00000075624,ENSG00000075886,ENSG00000097007,ENSG00000101162,ENSG00000104833,ENSG00000111057,ENSG00000115053,ENSG00000116584,ENSG00000127589,ENSG00000127824,ENSG00000130429,ENSG00000134308,ENSG00000134318,ENSG00000136950,ENSG00000137285,ENSG00000150093,ENSG00000152086,ENSG00000154229,ENSG00000154589,ENSG00000158092,ENSG00000163466,ENSG00000167553,ENSG00000168036,ENSG00000170458,ENSG00000176014,ENSG00000178462,ENSG00000180353,ENSG00000183785,ENSG00000187554,ENSG00000198033,ENSG00000198211	1.6489165385E0	8.60741E-5	2.78306E-3
hsa05410	66	90	6	947	0.63	60	18125	0.33	ACTG1,CACNB1,FOXC1,FOXL1,ITGB3,MZF1	ENSG00000005961,ENSG00000006116,ENSG00000007402,ENSG00000017427,ENSG00000075429,ENSG00000075461,ENSG00000075624,ENSG00000078401,ENSG00000081248,ENSG00000082781,ENSG00000092054,ENSG00000092969,ENSG00000102119,ENSG00000102683,ENSG00000105605,ENSG00000105855,ENSG00000106617,ENSG00000107796,ENSG00000108878,ENSG00000115221,ENSG00000115232,ENSG00000115592,ENSG00000119699,ENSG00000124205,ENSG00000127129,ENSG00000129991,ENSG00000132356,ENSG00000132470,ENSG00000135424,ENSG00000135744,ENSG00000137809,ENSG00000138448,ENSG00000140416,ENSG00000142408,ENSG00000143549,ENSG00000144668,ENSG00000150093,ENSG00000151062,ENSG00000151067,ENSG00000157388,ENSG00000159251,ENSG00000159640,ENSG00000160789,ENSG00000162409,ENSG00000163069,ENSG00000166862,ENSG00000167460,ENSG00000167535,ENSG00000170624,ENSG00000175084,ENSG00000182389,ENSG00000197616,ENSG00000204490,ENSG00000206439,ENSG00000213949,ENSG00000223952,ENSG00000228321,ENSG00000228849,ENSG00000230108,ENSG00000232810	649163.29354E-6	1.09867E-1	1.64847E-1
