#term	term_size	term_size_in_genome	list1_positives	list1_negatives	list1_percentage	list2_positives	list2_negatives	list2_percentage	list1_positive_ids	list2_positive_ids	odds_ratio_log	pvalue	adj_pvalue
h_gleevecpathway	11	20	5	948	0.52	6	18179	0.03	BCR,FOXC1,FOXL1,MAP3K1,MZF1	ENSG00000065559,ENSG00000096968,ENSG00000102882,ENSG00000121879,ENSG00000142208,ENSG00000225134	2.7713463017E0	1.0883E-4	2.85937E-3
h_integrinPathway	18	26	5	948	0.52	13	18172	0.07	BCR,FOXC1,FOXL1,MZF1,SHC1	ENSG00000067560,ENSG00000067900,ENSG00000077157,ENSG00000077522,ENSG00000079308,ENSG00000102882,ENSG00000103653,ENSG00000105974,ENSG00000107263,ENSG00000116473,ENSG00000137076,ENSG00000143632,ENSG00000150093	1.9977712796E0	1.50747E-3	8.80499E-3
h_etsPathway	10	15	4	949	0.42	6	18179	0.03	E2F4,FOXC1,FOXL1,MZF1	ENSG00000080839,ENSG00000127511,ENSG00000134954,ENSG00000157557,ENSG00000169375,ENSG00000182578	2.547148454E0	1.00777E-3	7.02855E-3
h_eif2Pathway	10	10	4	949	0.42	6	18179	0.03	EIF2AK3,EIF2S2,FOXL1,MZF1	ENSG00000055332,ENSG00000086232,ENSG00000100664,ENSG00000128829,ENSG00000130741,ENSG00000145191	2.547148454E0	1.00777E-3	7.02855E-3
h_igf1mtorpathway	15	18	5	948	0.52	10	18175	0.05	EIF2S2,FOXC1,FOXL1,MTOR,MZF1	ENSG00000005882,ENSG00000017427,ENSG00000121879,ENSG00000130741,ENSG00000140443,ENSG00000142208,ENSG00000145191,ENSG00000165458,ENSG00000171862,ENSG00000225134	2.2603006196E0	5.98543E-4	5.70677E-3
h_rnaPathway	7	7	4	949	0.42	3	18182	0.02	EIF2S2,FOXC1,FOXL1,MZF1	ENSG00000006062,ENSG00000055332,ENSG00000141510	3.2404606465E0	1.89493E-4	3.96478E-3
h_vegfPathway	19	23	6	947	0.63	13	18172	0.07	EIF2S2,ELAVL1,FOXC1,FOXL1,HIF1A,SHC1	ENSG00000037280,ENSG00000112715,ENSG00000115211,ENSG00000121879,ENSG00000124181,ENSG00000128052,ENSG00000130741,ENSG00000143437,ENSG00000145191,ENSG00000154229,ENSG00000164867,ENSG00000173674,ENSG00000225134	2.1811482455E0	2.32673E-4	4.52051E-3
h_akap13Pathway	9	11	4	949	0.42	5	18180	0.03	ELK1,FOXC1,FOXL1,MZF1	ENSG00000005249,ENSG00000067560,ENSG00000146535,ENSG00000165059,ENSG00000170776	2.7295250178E0	6.29423E-4	5.70677E-3
h_akap95Pathway	8	8	4	949	0.42	4	18181	0.02	ELK1,FOXC1,FOXL1,MZF1	ENSG00000005249,ENSG00000010292,ENSG00000134057,ENSG00000165059	2.9527235731E0	3.64025E-4	4.71499E-3
h_akapCentrosomePathway	10	11	4	949	0.42	6	18179	0.03	ELK1,FOXC1,FOXL1,MZF1	ENSG00000005249,ENSG00000067560,ENSG00000078018,ENSG00000127914,ENSG00000160299,ENSG00000165059	2.547148454E0	1.00777E-3	7.02855E-3
h_biopeptidesPathway	17	24	5	948	0.52	12	18173	0.07	ELK1,FOXC1,FOXL1,MZF1,SHC1	ENSG00000096968,ENSG00000102882,ENSG00000112062,ENSG00000113889,ENSG00000120899,ENSG00000124181,ENSG00000135744,ENSG00000154229,ENSG00000160014,ENSG00000180772,ENSG00000198668,ENSG00000231338	2.0778690155E0	1.13488E-3	7.3908E-3
h_carm-erPathway	15	22	5	948	0.52	10	18175	0.05	ELK1,FOXC1,FOXL1,MED1,MZF1	ENSG00000005339,ENSG00000012048,ENSG00000091831,ENSG00000094631,ENSG00000100393,ENSG00000116478,ENSG00000155974,ENSG00000165417,ENSG00000169297,ENSG00000180530	2.2603006196E0	5.98543E-4	5.70677E-3
h_egfPathway	14	22	6	947	0.63	8	18177	0.04	ELK1,FOXC1,FOXL1,MAP3K1,MZF1,SHC1	ENSG00000065559,ENSG00000102882,ENSG00000121879,ENSG00000124181,ENSG00000138798,ENSG00000146648,ENSG00000154229,ENSG00000225134	2.666931172E0	3.19213E-5	2.17065E-3
h_erkPathway	17	22	5	948	0.52	12	18173	0.07	ELK1,FOXC1,FOXL1,MZF1,SHC1	ENSG00000064300,ENSG00000079277,ENSG00000087460,ENSG00000102882,ENSG00000117676,ENSG00000134259,ENSG00000136908,ENSG00000140443,ENSG00000146648,ENSG00000150093,ENSG00000167751,ENSG00000235807	2.0778690155E0	1.13488E-3	7.3908E-3
h_her2Pathway	15	22	5	948	0.52	10	18175	0.05	ELK1,FOXC1,FOXL1,MZF1,SHC1	ENSG00000091831,ENSG00000100393,ENSG00000102882,ENSG00000121879,ENSG00000141736,ENSG00000146648,ENSG00000155974,ENSG00000160712,ENSG00000178568,ENSG00000225134	2.2603006196E0	5.98543E-4	5.70677E-3
h_il22bppathway	8	6	5	948	0.52	3	18182	0.02	ELK1,FOXC1,FOXL1,MZF1,TYK2	ENSG00000096968,ENSG00000105639,ENSG00000184557	3.4646584942E0	1.4961E-5	1.72662E-3
h_il6Pathway	10	15	5	948	0.52	5	18180	0.03	ELK1,FOXC1,FOXL1,MZF1,SHC1	ENSG00000096968,ENSG00000102882,ENSG00000105639,ENSG00000160712,ENSG00000179295	2.9537228655E0	6.19021E-5	2.40534E-3
h_metPathway	18	29	5	948	0.52	13	18172	0.07	ELK1,FOXC1,FOXL1,MZF1,PAK1	ENSG00000019991,ENSG00000102882,ENSG00000105976,ENSG00000107263,ENSG00000116473,ENSG00000120899,ENSG00000121879,ENSG00000127314,ENSG00000143632,ENSG00000150093,ENSG00000171862,ENSG00000179295,ENSG00000225134	1.9977712796E0	1.50747E-3	8.80499E-3
h_mPRPathway	15	19	5	948	0.52	10	18175	0.05	ELK1,FOXC1,FOXL1,MZF1,PAQR7	ENSG00000005249,ENSG00000102882,ENSG00000117676,ENSG00000127445,ENSG00000131236,ENSG00000134057,ENSG00000143632,ENSG00000158402,ENSG00000164742,ENSG00000165059	2.2603006196E0	5.98543E-4	5.70677E-3
h_pdgfPathway	13	23	6	947	0.63	7	18178	0.04	ELK1,FOXC1,FOXL1,MAP3K1,MZF1,SHC1	ENSG00000065559,ENSG00000102882,ENSG00000121879,ENSG00000124181,ENSG00000154229,ENSG00000197461,ENSG00000225134	2.8005175777E0	1.90436E-5	1.72662E-3
h_stat3Pathway	9	7	6	947	0.63	3	18182	0.02	ELK1,FOXC1,FOXL1,MTOR,MZF1,TYK2	ENSG00000096968,ENSG00000102882,ENSG00000105639	3.6480354601E0	1.10794E-6	3.01359E-4
h_stathminPathway	9	13	4	949	0.42	5	18180	0.03	ELK1,FOXC1,FOXL1,MZF1	ENSG00000005249,ENSG00000117632,ENSG00000134057,ENSG00000160654,ENSG00000165059	2.7295250178E0	6.29423E-4	5.70677E-3
h_TPOPathway	12	21	5	948	0.52	7	18178	0.04	ELK1,FOXC1,FOXL1,MZF1,SHC1	ENSG00000090534,ENSG00000096968,ENSG00000102882,ENSG00000121879,ENSG00000124181,ENSG00000154229,ENSG00000225134	2.6171406118E0	1.78918E-4	3.96478E-3
h_vipPathway	14	20	5	948	0.52	9	18176	0.05	ELK1,FOXC1,FOXL1,MAP3K1,MZF1	ENSG00000005249,ENSG00000106018,ENSG00000120910,ENSG00000124181,ENSG00000138814,ENSG00000156052,ENSG00000160014,ENSG00000165059,ENSG00000198668	2.3657161544E0	4.16016E-4	4.91984E-3
h_41bbPathway	10	13	5	948	0.52	5	18180	0.03	FOXC1,FOXL1,MAP3K1,MZF1,TNFSF9	ENSG00000109471,ENSG00000112062,ENSG00000127191,ENSG00000172533,ENSG00000197442	2.9537228655E0	6.19021E-5	2.40534E-3
h_At1rPathway	17	23	6	947	0.63	11	18174	0.06	FOXC1,FOXL1,MAP3K1,MZF1,PAK1,SHC1	ENSG00000065559,ENSG00000102882,ENSG00000120899,ENSG00000135744,ENSG00000136238,ENSG00000144891,ENSG00000146648,ENSG00000154229,ENSG00000156052,ENSG00000160014,ENSG00000198668	2.3483123835E0	1.15636E-4	2.85937E-3
