#term	term_size	term_size_in_genome	list1_positives	list1_negatives	list1_percentage	list2_positives	list2_negatives	list2_percentage	list1_positive_ids	list2_positive_ids	odds_ratio_log	pvalue	adj_pvalue
hsa00970	33	42	5	948	0.52	28	18157	0.15	AARS,FOXC1,FOXL1,HARS2,MZF1	ENSG00000011376,ENSG00000031698,ENSG00000067704,ENSG00000096171,ENSG00000103707,ENSG00000106105,ENSG00000109618,ENSG00000113407,ENSG00000113643,ENSG00000115866,ENSG00000116874,ENSG00000117593,ENSG00000124608,ENSG00000133706,ENSG00000134440,ENSG00000134684,ENSG00000134905,ENSG00000137513,ENSG00000139131,ENSG00000140105,ENSG00000143374,ENSG00000145982,ENSG00000166986,ENSG00000172053,ENSG00000179988,ENSG00000185418,ENSG00000226589,ENSG00000236178	1.2296903403E0	2.25591E-2	5.91414E-2
hsa02010	42	55	6	947	0.63	36	18149	0.2	ABCD1,ELK1,FOXC1,FOXL1,MZF1,TAP2	ENSG00000001626,ENSG00000005471,ENSG00000006071,ENSG00000023839,ENSG00000069431,ENSG00000073734,ENSG00000085563,ENSG00000103222,ENSG00000107331,ENSG00000108846,ENSG00000115657,ENSG00000117528,ENSG00000118777,ENSG00000119688,ENSG00000121270,ENSG00000131269,ENSG00000138075,ENSG00000140798,ENSG00000141338,ENSG00000143921,ENSG00000150967,ENSG00000154262,ENSG00000154263,ENSG00000154265,ENSG00000160179,ENSG00000167972,ENSG00000168394,ENSG00000172350,ENSG00000197150,ENSG00000206297,ENSG00000224212,ENSG00000226173,ENSG00000227816,ENSG00000230705,ENSG00000232367,ENSG00000237060	1.1613121793E0	1.69994E-2	5.52741E-2
hsa04530	108	136	13	940	1.36	95	18090	0.52	ACTG1,AKT2,ASH1L,CLDN1,ELK1,FOXC1,FOXL1,HRAS,LLGL1,MZF1,NRAS,RAB13,TJP2	ENSG00000006788,ENSG00000044115,ENSG00000060138,ENSG00000065675,ENSG00000067560,ENSG00000067606,ENSG00000070770,ENSG00000070831,ENSG00000073350,ENSG00000074211,ENSG00000075624,ENSG00000077522,ENSG00000078814,ENSG00000079819,ENSG00000081026,ENSG00000082397,ENSG00000088367,ENSG00000092054,ENSG00000101335,ENSG00000101558,ENSG00000101608,ENSG00000102981,ENSG00000105289,ENSG00000105357,ENSG00000105568,ENSG00000106404,ENSG00000106631,ENSG00000109061,ENSG00000109063,ENSG00000113575,ENSG00000114353,ENSG00000118680,ENSG00000124171,ENSG00000125414,ENSG00000125755,ENSG00000126458,ENSG00000127955,ENSG00000130396,ENSG00000130402,ENSG00000130545,ENSG00000131558,ENSG00000133020,ENSG00000133026,ENSG00000133392,ENSG00000133703,ENSG00000135446,ENSG00000141048,ENSG00000142208,ENSG00000143375,ENSG00000144821,ENSG00000147044,ENSG00000151276,ENSG00000154229,ENSG00000154721,ENSG00000156282,ENSG00000156284,ENSG00000158186,ENSG00000158769,ENSG00000159261,ENSG00000163558,ENSG00000163932,ENSG00000164007,ENSG00000165215,ENSG00000165376,ENSG00000166086,ENSG00000168036,ENSG00000169213,ENSG00000171217,ENSG00000171862,ENSG00000175470,ENSG00000176105,ENSG00000177300,ENSG00000180104,ENSG00000180209,ENSG00000180353,ENSG00000181885,ENSG00000183067,ENSG00000183230,ENSG00000184113,ENSG00000184697,ENSG00000187391,ENSG00000189143,ENSG00000197122,ENSG00000197616,ENSG00000197694,ENSG00000204435,ENSG00000206406,ENSG00000213937,ENSG00000215375,ENSG00000221914,ENSG00000224398,ENSG00000224774,ENSG00000228875,ENSG00000230700,ENSG00000232960	968307.16899E-6	2.74835E-3	1.77727E-2
hsa05110	51	60	9	944	0.94	42	18143	0.23	ACTG1,ATP6V0E2,ATP6V1C1,ATP6V1G1,ELK1,FOXC1,FOXL1,MZF1,TJP2	ENSG00000001626,ENSG00000033627,ENSG00000047249,ENSG00000053918,ENSG00000064651,ENSG00000065665,ENSG00000071553,ENSG00000075624,ENSG00000087460,ENSG00000105438,ENSG00000105929,ENSG00000106803,ENSG00000110719,ENSG00000113732,ENSG00000116039,ENSG00000117410,ENSG00000124181,ENSG00000128524,ENSG00000132432,ENSG00000136240,ENSG00000138031,ENSG00000143882,ENSG00000147416,ENSG00000147614,ENSG00000151418,ENSG00000154229,ENSG00000159720,ENSG00000162104,ENSG00000165059,ENSG00000171142,ENSG00000183943,ENSG00000185344,ENSG00000185883,ENSG00000197930,ENSG00000198788,ENSG00000206445,ENSG00000213760,ENSG00000226850,ENSG00000227587,ENSG00000230900,ENSG00000234668,ENSG00000234920	1.4154688833E0	8.35279E-4	9.00245E-3
hsa05130	47	61	10	943	1.05	37	18148	0.2	ACTG1,CLDN1,ELK1,FOXC1,FOXL1,MZF1,NCK2,TUBB,WASL,YWHAZ	ENSG00000010810,ENSG00000015285,ENSG00000039068,ENSG00000067560,ENSG00000067900,ENSG00000070831,ENSG00000075624,ENSG00000075886,ENSG00000097007,ENSG00000101162,ENSG00000104833,ENSG00000111057,ENSG00000115053,ENSG00000116584,ENSG00000127589,ENSG00000127824,ENSG00000130429,ENSG00000134308,ENSG00000134318,ENSG00000136950,ENSG00000137285,ENSG00000150093,ENSG00000152086,ENSG00000154229,ENSG00000154589,ENSG00000158092,ENSG00000163466,ENSG00000167553,ENSG00000168036,ENSG00000170458,ENSG00000176014,ENSG00000178462,ENSG00000180353,ENSG00000183785,ENSG00000187554,ENSG00000198033,ENSG00000198211	1.6489165385E0	8.60741E-5	2.78306E-3
hsa05412	50	72	7	946	0.73	43	18142	0.24	ACTG1,CACNB1,DSC2,FOXC1,FOXL1,ITGB3,MZF1	ENSG00000005961,ENSG00000006116,ENSG00000007402,ENSG00000044115,ENSG00000046604,ENSG00000057294,ENSG00000075429,ENSG00000075461,ENSG00000075624,ENSG00000077522,ENSG00000081059,ENSG00000081248,ENSG00000082781,ENSG00000096696,ENSG00000102119,ENSG00000102683,ENSG00000105605,ENSG00000105855,ENSG00000108878,ENSG00000115221,ENSG00000115232,ENSG00000130402,ENSG00000132470,ENSG00000135424,ENSG00000137809,ENSG00000138448,ENSG00000142408,ENSG00000144668,ENSG00000150093,ENSG00000151062,ENSG00000151067,ENSG00000152661,ENSG00000157388,ENSG00000160789,ENSG00000163069,ENSG00000166862,ENSG00000167535,ENSG00000168036,ENSG00000170624,ENSG00000175084,ENSG00000182389,ENSG00000183230,ENSG00000213949	1.1384524355E0	1.14329E-2	4.27263E-2
hsa05414	67	93	7	946	0.73	60	18125	0.33	ACTG1,CACNB1,ELK1,FOXC1,FOXL1,ITGB3,MZF1	ENSG00000005961,ENSG00000006116,ENSG00000007402,ENSG00000017427,ENSG00000075429,ENSG00000075461,ENSG00000075624,ENSG00000078295,ENSG00000081248,ENSG00000082781,ENSG00000087460,ENSG00000092054,ENSG00000092969,ENSG00000102119,ENSG00000102683,ENSG00000105605,ENSG00000105855,ENSG00000107796,ENSG00000108878,ENSG00000115221,ENSG00000115232,ENSG00000119699,ENSG00000129991,ENSG00000132470,ENSG00000135424,ENSG00000137809,ENSG00000138031,ENSG00000138448,ENSG00000140416,ENSG00000142408,ENSG00000143549,ENSG00000144668,ENSG00000150093,ENSG00000151062,ENSG00000151067,ENSG00000155897,ENSG00000157388,ENSG00000159251,ENSG00000160789,ENSG00000162104,ENSG00000163069,ENSG00000164742,ENSG00000165059,ENSG00000166862,ENSG00000167460,ENSG00000167535,ENSG00000170624,ENSG00000174233,ENSG00000175084,ENSG00000182389,ENSG00000183943,ENSG00000197616,ENSG00000204490,ENSG00000206439,ENSG00000213949,ENSG00000223952,ENSG00000228321,ENSG00000228849,ENSG00000230108,ENSG00000232810	804370.4975E-6	4.84912E-2	9.79927E-2
hsa04350	65	90	7	946	0.73	58	18127	0.32	ACVR1,E2F4,FOXC1,FOXL1,MZF1,SMURF2,TFDP1	ENSG00000005339,ENSG00000011465,ENSG00000049323,ENSG00000055130,ENSG00000067560,ENSG00000067900,ENSG00000080839,ENSG00000092969,ENSG00000100387,ENSG00000100393,ENSG00000102882,ENSG00000103479,ENSG00000105568,ENSG00000105664,ENSG00000106799,ENSG00000107779,ENSG00000112175,ENSG00000113296,ENSG00000113575,ENSG00000114739,ENSG00000115738,ENSG00000116985,ENSG00000117318,ENSG00000119699,ENSG00000120693,ENSG00000122641,ENSG00000125965,ENSG00000125968,ENSG00000133740,ENSG00000134318,ENSG00000135503,ENSG00000137801,ENSG00000137834,ENSG00000138696,ENSG00000139567,ENSG00000143768,ENSG00000143869,ENSG00000147883,ENSG00000153162,ENSG00000156574,ENSG00000157077,ENSG00000164093,ENSG00000166949,ENSG00000175387,ENSG00000175634,ENSG00000183682,ENSG00000185591,ENSG00000186340,ENSG00000198742,ENSG00000204217,ENSG00000204490,ENSG00000206439,ENSG00000223952,ENSG00000228321,ENSG00000228849,ENSG00000230108,ENSG00000232810,ENSG00000243709	838382.38792E-6	4.2217E-2	8.94707E-2
hsa00010	52	60	10	943	1.05	42	18143	0.23	AKR1A1,ALDOC,DLD,FOXC1,FOXL1,LDHB,MZF1,PDHA1,PGAM1,PGAM4	ENSG00000006534,ENSG00000067057,ENSG00000067225,ENSG00000074800,ENSG00000079739,ENSG00000102144,ENSG00000105220,ENSG00000106633,ENSG00000108602,ENSG00000111275,ENSG00000111640,ENSG00000111669,ENSG00000111674,ENSG00000124253,ENSG00000130957,ENSG00000131069,ENSG00000131482,ENSG00000132746,ENSG00000134333,ENSG00000137124,ENSG00000143627,ENSG00000143891,ENSG00000149925,ENSG00000152254,ENSG00000154930,ENSG00000156515,ENSG00000159399,ENSG00000160883,ENSG00000163114,ENSG00000164708,ENSG00000164904,ENSG00000165140,ENSG00000166800,ENSG00000168291,ENSG00000169299,ENSG00000171989,ENSG00000172331,ENSG00000172955,ENSG00000187758,ENSG00000196616,ENSG00000197894,ENSG00000198099	1.5218892824E0	2.09858E-4	3.7424E-3
hsa04010	215	289	18	935	1.89	197	17988	1.08	AKT2,CACNB1,CHP,CHUK,DUSP14,ELK1,FOXC1,FOXL1,HRAS,MAP3K1,MAP3K2,MAPK6,MZF1,NLK,NRAS,PAK1,PPM1A,RASGRF2	ENSG00000006062,ENSG00000006116,ENSG00000006432,ENSG00000007402,ENSG00000011485,ENSG00000011566,ENSG00000026103,ENSG00000034152,ENSG00000058335,ENSG00000065559,ENSG00000067182,ENSG00000068831,ENSG00000069764,ENSG00000070193,ENSG00000070388,ENSG00000070831,ENSG00000071242,ENSG00000072133,ENSG00000073009,ENSG00000075429,ENSG00000075461,ENSG00000076984,ENSG00000077150,ENSG00000077782,ENSG00000078579,ENSG00000079277,ENSG00000081248,ENSG00000085276,ENSG00000089022,ENSG00000092969,ENSG00000099860,ENSG00000099875,ENSG00000099942,ENSG00000100078,ENSG00000100311,ENSG00000100324,ENSG00000100346,ENSG00000100485,ENSG00000100968,ENSG00000101109,ENSG00000102466,ENSG00000102678,ENSG00000102882,ENSG00000104365,ENSG00000104375,ENSG00000104856,ENSG00000105550,ENSG00000105605,ENSG00000106799,ENSG00000107831,ENSG00000108861,ENSG00000108878,ENSG00000108984,ENSG00000109270,ENSG00000109339,ENSG00000109756,ENSG00000110786,ENSG00000111241,ENSG00000111266,ENSG00000112062,ENSG00000113578,ENSG00000113721,ENSG00000114279,ENSG00000115008,ENSG00000115590,ENSG00000116473,ENSG00000116717,ENSG00000117215,ENSG00000117560,ENSG00000117632,ENSG00000117676,ENSG00000118972,ENSG00000119699,ENSG00000120129,ENSG00000120910,ENSG00000121653,ENSG00000123358,ENSG00000123739,ENSG00000125952,ENSG00000126458,ENSG00000126803,ENSG00000126934,ENSG00000127191,ENSG00000127314,ENSG00000127472,ENSG00000128272,ENSG00000128340,ENSG00000128591,ENSG00000129682,ENSG00000130159,ENSG00000130222,ENSG00000130522,ENSG00000130758,ENSG00000133703,ENSG00000134259,ENSG00000135090,ENSG00000135503,ENSG00000136068,ENSG00000136238,ENSG00000137486,ENSG00000137764,ENSG00000138166,ENSG00000138308,ENSG00000138685,ENSG00000138798,ENSG00000138814,ENSG00000139625,ENSG00000140285,ENSG00000141480,ENSG00000141510,ENSG00000141639,ENSG00000142208,ENSG00000142408,ENSG00000142733,ENSG00000145715,ENSG00000146535,ENSG00000146648,ENSG00000148053,ENSG00000148408,ENSG00000151062,ENSG00000151067,ENSG00000154229,ENSG00000155903,ENSG00000156427,ENSG00000156711,ENSG00000157388,ENSG00000158186,ENSG00000158711,ENSG00000158786,ENSG00000160867,ENSG00000161958,ENSG00000162302,ENSG00000162344,ENSG00000164086,ENSG00000164305,ENSG00000165059,ENSG00000166862,ENSG00000166869,ENSG00000167535,ENSG00000167744,ENSG00000168970,ENSG00000169750,ENSG00000170458,ENSG00000170890,ENSG00000172380,ENSG00000172680,ENSG00000173039,ENSG00000173110,ENSG00000173327,ENSG00000175104,ENSG00000175197,ENSG00000176697,ENSG00000180370,ENSG00000182389,ENSG00000183943,ENSG00000184381,ENSG00000184545,ENSG00000185386,ENSG00000185652,ENSG00000187980,ENSG00000188130,ENSG00000188386,ENSG00000188784,ENSG00000196712,ENSG00000196924,ENSG00000197442,ENSG00000197461,ENSG00000198216,ENSG00000198400,ENSG00000198909,ENSG00000204209,ENSG00000204388,ENSG00000204389,ENSG00000204390,ENSG00000204490,ENSG00000205872,ENSG00000206206,ENSG00000206279,ENSG00000206439,ENSG00000212866,ENSG00000215328,ENSG00000221823,ENSG00000223952,ENSG00000224501,ENSG00000227046,ENSG00000228321,ENSG00000228849,ENSG00000230108,ENSG00000231555,ENSG00000231617,ENSG00000232804,ENSG00000232810,ENSG00000234258,ENSG00000234475,ENSG00000235941,ENSG00000237724,ENSG00000244102	564081.64776E-6	2.19733E-2	5.91414E-2
