#term	term_size	term_size_in_genome	list1_positives	list1_negatives	list1_percentage	list2_positives	list2_negatives	list2_percentage	list1_positive_ids	list2_positive_ids	odds_ratio_log	pvalue	adj_pvalue
h_cftrPathway	11	10	4	987	0.4	7	22449	0.03	ADRB2,EZR,HOXA5,PRKAR1A	ENSG00000001626,ENSG00000005249,ENSG00000114302,ENSG00000142875,ENSG00000164742,ENSG00000165059,ENSG00000188191	2.5647155214E0	8.24586E-4	3.2041E-2
h_gcrPathway	14	14	2	989	0.2	12	22444	0.05	ADRB2,NR3C1	ENSG00000080824,ENSG00000087460,ENSG00000105851,ENSG00000109320,ENSG00000121879,ENSG00000135046,ENSG00000142208,ENSG00000145675,ENSG00000160014,ENSG00000164867,ENSG00000198668,ENSG00000225134	1.330324796E0	1.16134E-1	3.54927E-1
h_plcePathway	11	10	3	988	0.3	8	22448	0.04	ADRB2,HOXA5,PRKAR1A	ENSG00000005249,ENSG00000114302,ENSG00000138193,ENSG00000142875,ENSG00000164742,ENSG00000165059,ENSG00000181467,ENSG00000188191	2.1424448516E0	9.62626E-3	1.09098E-1
h_ahspPathway	9	9	2	989	0.2	7	22449	0.03	ALAD,ALAS1	ENSG00000066926,ENSG00000080819,ENSG00000102145,ENSG00000126088,ENSG00000158578,ENSG00000169188,ENSG00000169877	1.8695440486E0	5.2734E-2	2.17328E-1
h_eicosanoidPathway	19	19	4	987	0.4	15	22441	0.07	ALOX5,PTGER2,PTGIR,TBXA2R	ENSG00000050628,ENSG00000059377,ENSG00000073756,ENSG00000095303,ENSG00000116711,ENSG00000120915,ENSG00000122420,ENSG00000124212,ENSG00000134716,ENSG00000143819,ENSG00000152207,ENSG00000163106,ENSG00000171522,ENSG00000173198,ENSG00000182621	1.8022190425E0	7.39502E-3	8.74541E-2
h_dcPathway	13	13	3	988	0.3	10	22446	0.04	ANPEP,ITGAX,TLR7	ENSG00000101017,ENSG00000105383,ENSG00000110448,ENSG00000111537,ENSG00000113525,ENSG00000136634,ENSG00000164399,ENSG00000169194,ENSG00000171855,ENSG00000197919	1.9192122015E0	1.56665E-2	1.17303E-1
h_SARSpathway	6	6	1	990	0.1	5	22451	0.02	ANPEP	ENSG00000104879,ENSG00000112062,ENSG00000115053,ENSG00000151247,ENSG00000167701	1.51194758E0	2.28282E-1	5.1744E-1
h_arapPathway	14	14	2	989	0.2	12	22444	0.05	ARAP1,ARAP2	ENSG00000008256,ENSG00000066777,ENSG00000100055,ENSG00000101199,ENSG00000105443,ENSG00000107862,ENSG00000112293,ENSG00000122218,ENSG00000124198,ENSG00000151693,ENSG00000153317,ENSG00000175416	1.330324796E0	1.16134E-1	3.54927E-1
h_edg1Pathway	22	22	5	986	0.5	17	22439	0.08	ASAH1,MAPK3,PRKCB,RHOA,SMPD1	ENSG00000056345,ENSG00000100030,ENSG00000105851,ENSG00000121879,ENSG00000134853,ENSG00000135587,ENSG00000136238,ENSG00000138448,ENSG00000142208,ENSG00000145675,ENSG00000153820,ENSG00000154229,ENSG00000164742,ENSG00000170989,ENSG00000182621,ENSG00000197461,ENSG00000225134	1.9011240091E0	1.92775E-3	4.7668E-2
h_alkPathway	30	30	3	988	0.3	27	22429	0.12	BMP2,BMPR2,SMAD6	ENSG00000035928,ENSG00000069702,ENSG00000082701,ENSG00000090539,ENSG00000101144,ENSG00000103126,ENSG00000105329,ENSG00000106799,ENSG00000107779,ENSG00000112175,ENSG00000113658,ENSG00000115170,ENSG00000115966,ENSG00000119699,ENSG00000125084,ENSG00000125378,ENSG00000134982,ENSG00000135100,ENSG00000136574,ENSG00000141646,ENSG00000157240,ENSG00000163217,ENSG00000168036,ENSG00000169962,ENSG00000170365,ENSG00000183072,ENSG00000183691	925202.76829E-6	1.31802E-1	3.81385E-1
