#term	term_size	term_size_in_genome	list1_positives	list1_negatives	list1_percentage	list2_positives	list2_negatives	list2_percentage	list1_positive_ids	list2_positive_ids	odds_ratio_log	pvalue	adj_pvalue
h_cftrPathway	11	10	4	987	0.4	7	22449	0.03	ADRB2,EZR,HOXA5,PRKAR1A	ENSG00000001626,ENSG00000005249,ENSG00000114302,ENSG00000142875,ENSG00000164742,ENSG00000165059,ENSG00000188191	2.5647155214E0	8.24586E-4	3.2041E-2
h_eicosanoidPathway	19	19	4	987	0.4	15	22441	0.07	ALOX5,PTGER2,PTGIR,TBXA2R	ENSG00000050628,ENSG00000059377,ENSG00000073756,ENSG00000095303,ENSG00000116711,ENSG00000120915,ENSG00000122420,ENSG00000124212,ENSG00000134716,ENSG00000143819,ENSG00000152207,ENSG00000163106,ENSG00000171522,ENSG00000173198,ENSG00000182621	1.8022190425E0	7.39502E-3	8.74541E-2
h_edg1Pathway	22	22	5	986	0.5	17	22439	0.08	ASAH1,MAPK3,PRKCB,RHOA,SMPD1	ENSG00000056345,ENSG00000100030,ENSG00000105851,ENSG00000121879,ENSG00000134853,ENSG00000135587,ENSG00000136238,ENSG00000138448,ENSG00000142208,ENSG00000145675,ENSG00000153820,ENSG00000154229,ENSG00000164742,ENSG00000170989,ENSG00000182621,ENSG00000197461,ENSG00000225134	1.9011240091E0	1.92775E-3	4.7668E-2
h_mCalpainPathway	16	15	5	986	0.5	11	22445	0.05	CAPN2,EZR,HOXA5,PRKAR1A,TLN1	ENSG00000005249,ENSG00000014216,ENSG00000114302,ENSG00000138798,ENSG00000142875,ENSG00000143632,ENSG00000146648,ENSG00000150093,ENSG00000165059,ENSG00000186810,ENSG00000188191	2.3367094362E0	3.94864E-4	2.68507E-2
h_fasPathway	27	27	5	986	0.5	22	22434	0.1	CFLAR,HOXA5,JUN,LMNA,RIPK2	ENSG00000003400,ENSG00000026103,ENSG00000064012,ENSG00000065559,ENSG00000095015,ENSG00000107643,ENSG00000113368,ENSG00000117560,ENSG00000121031,ENSG00000138794,ENSG00000139687,ENSG00000143799,ENSG00000149269,ENSG00000160049,ENSG00000164305,ENSG00000165806,ENSG00000168040,ENSG00000169598,ENSG00000176619,ENSG00000180370,ENSG00000185104,ENSG00000197694	1.6430720487E0	4.96248E-3	7.10046E-2
h_pparaPathway	53	52	8	983	0.81	45	22411	0.2	CITED2,DUSP1,HOXA5,JUN,LPL,MAPK3,PRKAR1A,PRKCB	ENSG00000005249,ENSG00000005339,ENSG00000007171,ENSG00000025434,ENSG00000065833,ENSG00000073756,ENSG00000080824,ENSG00000084676,ENSG00000100030,ENSG00000100393,ENSG00000105851,ENSG00000109819,ENSG00000113790,ENSG00000114302,ENSG00000118137,ENSG00000121879,ENSG00000125686,ENSG00000126561,ENSG00000128951,ENSG00000131910,ENSG00000136997,ENSG00000139687,ENSG00000141027,ENSG00000142875,ENSG00000145675,ENSG00000154229,ENSG00000161533,ENSG00000165059,ENSG00000175745,ENSG00000180530,ENSG00000185591,ENSG00000186951,ENSG00000188191,ENSG00000196498,ENSG00000197461,ENSG00000204490,ENSG00000206439,ENSG00000213523,ENSG00000223952,ENSG00000225134,ENSG00000228321,ENSG00000228849,ENSG00000230108,ENSG00000231555,ENSG00000232810	1.3994771205E0	1.61969E-3	4.54116E-2
h_cxcr4Pathway	17	17	4	987	0.4	13	22443	0.06	CRK,GNAQ,MAPK3,PRKCB	ENSG00000050820,ENSG00000100030,ENSG00000109320,ENSG00000120899,ENSG00000121879,ENSG00000121966,ENSG00000124181,ENSG00000132155,ENSG00000139144,ENSG00000145675,ENSG00000154229,ENSG00000169032,ENSG00000225134	1.9454090048E0	4.85607E-3	7.10046E-2
h_dspPathway	9	9	4	987	0.4	5	22451	0.02	DUSP1,DUSP6,DUSP8,MAPK3	ENSG00000107643,ENSG00000112062,ENSG00000120875,ENSG00000130829,ENSG00000158050	2.9012768449E0	3.36986E-4	2.68507E-2
h_ucalpainPathway	10	10	3	988	0.3	7	22449	0.03	EZR,RHOA,TLN1	ENSG00000014216,ENSG00000056345,ENSG00000077522,ENSG00000136238,ENSG00000143632,ENSG00000150093,ENSG00000197694	2.2760207906E0	7.22581E-3	8.74541E-2
h_Par1Pathway	18	18	5	986	0.5	13	22443	0.06	F2RL3,GNAQ,PRKCB,RHOA,ROCK1	ENSG00000077157,ENSG00000105851,ENSG00000120063,ENSG00000120899,ENSG00000121879,ENSG00000145675,ENSG00000146535,ENSG00000154229,ENSG00000164742,ENSG00000180210,ENSG00000181104,ENSG00000182621,ENSG00000225134	2.1695662409E0	7.21824E-4	3.2041E-2
