#term	term_size	term_size_in_genome	list1_positives	list1_negatives	list1_percentage	list2_positives	list2_negatives	list2_percentage	list1_positive_ids	list2_positive_ids	odds_ratio_log	pvalue	adj_pvalue
hsa04142	125	125	21	970	2.12	104	22352	0.46	ACP5,AP1S2,ASAH1,ATP6V0D1,CD68,CLN5,CTSH,CTSO,CTSS,FUCA1,GGA2,GLB1,HEXB,HOXA5,LAMP3,LAPTM5,LGMN,PLA2G15,SLC17A5,SMPD1,TPP1	ENSG00000003056,ENSG00000005893,ENSG00000010404,ENSG00000018280,ENSG00000038002,ENSG00000040531,ENSG00000047249,ENSG00000054983,ENSG00000064601,ENSG00000065000,ENSG00000068697,ENSG00000070371,ENSG00000070718,ENSG00000071553,ENSG00000072958,ENSG00000081014,ENSG00000100083,ENSG00000100280,ENSG00000100299,ENSG00000100448,ENSG00000100478,ENSG00000101160,ENSG00000102393,ENSG00000103174,ENSG00000103723,ENSG00000104341,ENSG00000104774,ENSG00000105612,ENSG00000105929,ENSG00000106367,ENSG00000107331,ENSG00000107798,ENSG00000108784,ENSG00000109323,ENSG00000109861,ENSG00000110719,ENSG00000110911,ENSG00000111670,ENSG00000113273,ENSG00000114378,ENSG00000117410,ENSG00000117984,ENSG00000122705,ENSG00000125447,ENSG00000127415,ENSG00000129354,ENSG00000131238,ENSG00000131400,ENSG00000132842,ENSG00000134243,ENSG00000134262,ENSG00000135047,ENSG00000135535,ENSG00000135677,ENSG00000136943,ENSG00000137976,ENSG00000138760,ENSG00000141012,ENSG00000141337,ENSG00000141367,ENSG00000141458,ENSG00000143387,ENSG00000147614,ENSG00000150967,ENSG00000157823,ENSG00000164073,ENSG00000164733,ENSG00000165102,ENSG00000166747,ENSG00000168452,ENSG00000169919,ENSG00000171298,ENSG00000172543,ENSG00000174080,ENSG00000175416,ENSG00000177628,ENSG00000177879,ENSG00000178597,ENSG00000181523,ENSG00000184494,ENSG00000185009,ENSG00000185344,ENSG00000185883,ENSG00000185896,ENSG00000188603,ENSG00000196188,ENSG00000196743,ENSG00000197081,ENSG00000197217,ENSG00000197746,ENSG00000198951,ENSG00000204386,ENSG00000206329,ENSG00000213614,ENSG00000221838,ENSG00000223957,ENSG00000227129,ENSG00000227315,ENSG00000227600,ENSG00000228691,ENSG00000231618,ENSG00000234343,ENSG00000234846,ENSG00000236649	1.5375065486E0	6.22969E-8	1.20856E-5
hsa04062	187	187	22	969	2.22	165	22291	0.73	ADCY9,CCL2,CCL4,CCR1,CRK,CX3CR1,CXCL12,CXCL16,CXCL2,GNAI2,GNG7,GRK5,HOXA5,MAPK3,NFKBIA,PREX1,PRKCB,PRKCD,RHOA,ROCK1,SOX17,STAT5B	ENSG00000000938,ENSG00000006074,ENSG00000006075,ENSG00000006210,ENSG00000006606,ENSG00000015285,ENSG00000050820,ENSG00000051382,ENSG00000065135,ENSG00000067606,ENSG00000068831,ENSG00000069966,ENSG00000070831,ENSG00000072062,ENSG00000073009,ENSG00000078295,ENSG00000078369,ENSG00000082701,ENSG00000089159,ENSG00000096968,ENSG00000099942,ENSG00000100030,ENSG00000100077,ENSG00000100485,ENSG00000101333,ENSG00000101336,ENSG00000102962,ENSG00000102970,ENSG00000103653,ENSG00000104825,ENSG00000105221,ENSG00000105639,ENSG00000105647,ENSG00000105723,ENSG00000105851,ENSG00000106178,ENSG00000106299,ENSG00000108688,ENSG00000108700,ENSG00000108702,ENSG00000109272,ENSG00000109320,ENSG00000111664,ENSG00000112486,ENSG00000113263,ENSG00000114124,ENSG00000114450,ENSG00000115009,ENSG00000115415,ENSG00000115904,ENSG00000116473,ENSG00000117020,ENSG00000117461,ENSG00000118689,ENSG00000120899,ENSG00000121281,ENSG00000121807,ENSG00000121879,ENSG00000121966,ENSG00000124875,ENSG00000125388,ENSG00000126353,ENSG00000127314,ENSG00000127588,ENSG00000127920,ENSG00000127928,ENSG00000127955,ENSG00000128340,ENSG00000129467,ENSG00000129946,ENSG00000131142,ENSG00000132155,ENSG00000133703,ENSG00000134215,ENSG00000134318,ENSG00000134516,ENSG00000136238,ENSG00000137077,ENSG00000137486,ENSG00000137841,ENSG00000138031,ENSG00000138755,ENSG00000141480,ENSG00000141506,ENSG00000141968,ENSG00000142208,ENSG00000142875,ENSG00000143184,ENSG00000143185,ENSG00000145675,ENSG00000145824,ENSG00000146426,ENSG00000147507,ENSG00000148498,ENSG00000149269,ENSG00000149782,ENSG00000151882,ENSG00000155849,ENSG00000155897,ENSG00000156234,ENSG00000156299,ENSG00000157764,ENSG00000160293,ENSG00000160683,ENSG00000160691,ENSG00000160791,ENSG00000161570,ENSG00000161573,ENSG00000161574,ENSG00000162188,ENSG00000163464,ENSG00000163734,ENSG00000163735,ENSG00000163736,ENSG00000163737,ENSG00000163739,ENSG00000164742,ENSG00000165059,ENSG00000165178,ENSG00000167083,ENSG00000167236,ENSG00000167414,ENSG00000168243,ENSG00000168610,ENSG00000169032,ENSG00000169245,ENSG00000169248,ENSG00000169398,ENSG00000169429,ENSG00000170581,ENSG00000171608,ENSG00000172156,ENSG00000172215,ENSG00000172354,ENSG00000172380,ENSG00000172724,ENSG00000173020,ENSG00000173039,ENSG00000173175,ENSG00000173578,ENSG00000173585,ENSG00000174021,ENSG00000174233,ENSG00000174775,ENSG00000177885,ENSG00000179934,ENSG00000180871,ENSG00000181374,ENSG00000182621,ENSG00000183813,ENSG00000183943,ENSG00000184451,ENSG00000185634,ENSG00000185974,ENSG00000186469,ENSG00000186810,ENSG00000197262,ENSG00000198055,ENSG00000205020,ENSG00000205021,ENSG00000213281,ENSG00000213341,ENSG00000213494,ENSG00000213927,ENSG00000242616	1.1207706561E0	1.46435E-5	1.14621E-3
hsa04270	122	123	15	976	1.51	107	22349	0.48	ADCY9,ARHGEF12,GNA11,GNAQ,HOXA5,MAPK3,MYL6,PPP1R14A,PRKCB,PRKCD,PRKCE,PTGIR,RAMP2,RHOA,ROCK1	ENSG00000027075,ENSG00000058272,ENSG00000061918,ENSG00000064989,ENSG00000065534,ENSG00000065675,ENSG00000069764,ENSG00000072062,ENSG00000072952,ENSG00000076928,ENSG00000077157,ENSG00000078061,ENSG00000078295,ENSG00000078401,ENSG00000081248,ENSG00000087460,ENSG00000096433,ENSG00000100030,ENSG00000100078,ENSG00000101200,ENSG00000101306,ENSG00000101333,ENSG00000101335,ENSG00000102001,ENSG00000107796,ENSG00000110680,ENSG00000116711,ENSG00000117215,ENSG00000120063,ENSG00000120907,ENSG00000120937,ENSG00000121281,ENSG00000122679,ENSG00000122786,ENSG00000123104,ENSG00000123739,ENSG00000124205,ENSG00000126583,ENSG00000126934,ENSG00000127129,ENSG00000127472,ENSG00000128271,ENSG00000129467,ENSG00000132155,ENSG00000132329,ENSG00000132694,ENSG00000133392,ENSG00000134318,ENSG00000135643,ENSG00000135744,ENSG00000137841,ENSG00000138031,ENSG00000138308,ENSG00000140795,ENSG00000142875,ENSG00000143933,ENSG00000144891,ENSG00000145936,ENSG00000146535,ENSG00000148926,ENSG00000149782,ENSG00000150995,ENSG00000151067,ENSG00000151617,ENSG00000152402,ENSG00000154229,ENSG00000155897,ENSG00000156113,ENSG00000157388,ENSG00000157764,ENSG00000158786,ENSG00000159899,ENSG00000160014,ENSG00000162365,ENSG00000163017,ENSG00000163273,ENSG00000164116,ENSG00000164742,ENSG00000165059,ENSG00000166148,ENSG00000168970,ENSG00000169032,ENSG00000169418,ENSG00000169885,ENSG00000170214,ENSG00000170425,ENSG00000170890,ENSG00000171121,ENSG00000171873,ENSG00000172531,ENSG00000173175,ENSG00000174233,ENSG00000175206,ENSG00000178363,ENSG00000178372,ENSG00000182621,ENSG00000183943,ENSG00000184381,ENSG00000185532,ENSG00000186298,ENSG00000187048,ENSG00000187980,ENSG00000188257,ENSG00000188784,ENSG00000197584,ENSG00000198049,ENSG00000198668	1.1662956365E0	1.98931E-4	4.02291E-3
hsa04144	205	211	22	969	2.22	183	22273	0.81	ADRB2,ARAP1,ARAP2,CHMP2B,DAB2,EHD4,GIT2,GRK5,HLA-E,HOXA5,IQSEC1,KDR,LDLR,PARD6B,RAB11FIP1,RAB11FIP2,RAB5A,RABEP1,SH3GLB1,SOX17,STAM2,VPS36	ENSG00000006125,ENSG00000009844,ENSG00000013016,ENSG00000024422,ENSG00000042753,ENSG00000043591,ENSG00000049283,ENSG00000049759,ENSG00000059915,ENSG00000063245,ENSG00000065361,ENSG00000066468,ENSG00000067606,ENSG00000068078,ENSG00000070371,ENSG00000070831,ENSG00000072134,ENSG00000072274,ENSG00000072818,ENSG00000074319,ENSG00000075651,ENSG00000078747,ENSG00000079805,ENSG00000084070,ENSG00000085832,ENSG00000086065,ENSG00000087470,ENSG00000088280,ENSG00000090565,ENSG00000100077,ENSG00000100385,ENSG00000100931,ENSG00000101199,ENSG00000101421,ENSG00000102189,ENSG00000102755,ENSG00000102981,ENSG00000103769,ENSG00000105976,ENSG00000106799,ENSG00000106976,ENSG00000107242,ENSG00000107295,ENSG00000108262,ENSG00000108774,ENSG00000108854,ENSG00000109971,ENSG00000110047,ENSG00000110395,ENSG00000111540,ENSG00000112305,ENSG00000114124,ENSG00000114331,ENSG00000114423,ENSG00000115020,ENSG00000115561,ENSG00000116675,ENSG00000119541,ENSG00000120318,ENSG00000120645,ENSG00000121966,ENSG00000122705,ENSG00000123124,ENSG00000123612,ENSG00000124209,ENSG00000124313,ENSG00000124356,ENSG00000125388,ENSG00000125637,ENSG00000126803,ENSG00000129219,ENSG00000130724,ENSG00000131242,ENSG00000131381,ENSG00000131475,ENSG00000131584,ENSG00000132612,ENSG00000134460,ENSG00000134853,ENSG00000135439,ENSG00000135503,ENSG00000135631,ENSG00000135679,ENSG00000136631,ENSG00000136738,ENSG00000137403,ENSG00000137486,ENSG00000138592,ENSG00000138798,ENSG00000139722,ENSG00000140443,ENSG00000140600,ENSG00000141367,ENSG00000141480,ENSG00000141720,ENSG00000141971,ENSG00000141985,ENSG00000142273,ENSG00000143398,ENSG00000146005,ENSG00000146648,ENSG00000147010,ENSG00000147168,ENSG00000148341,ENSG00000148498,ENSG00000149182,ENSG00000151693,ENSG00000153317,ENSG00000155975,ENSG00000156011,ENSG00000157978,ENSG00000157985,ENSG00000159210,ENSG00000160791,ENSG00000160867,ENSG00000160948,ENSG00000161203,ENSG00000163464,ENSG00000163513,ENSG00000163558,ENSG00000164695,ENSG00000165527,ENSG00000165731,ENSG00000167987,ENSG00000168118,ENSG00000168461,ENSG00000170248,ENSG00000173020,ENSG00000173110,ENSG00000174775,ENSG00000175104,ENSG00000175416,ENSG00000176108,ENSG00000176428,ENSG00000176783,ENSG00000178184,ENSG00000178568,ENSG00000180871,ENSG00000181104,ENSG00000181852,ENSG00000182578,ENSG00000183020,ENSG00000185236,ENSG00000185359,ENSG00000185974,ENSG00000186111,ENSG00000188778,ENSG00000196814,ENSG00000196961,ENSG00000197122,ENSG00000197959,ENSG00000198055,ENSG00000198400,ENSG00000198742,ENSG00000204388,ENSG00000204389,ENSG00000204390,ENSG00000204525,ENSG00000204632,ENSG00000204642,ENSG00000206503,ENSG00000206506,ENSG00000206509,ENSG00000212866,ENSG00000215328,ENSG00000224501,ENSG00000229698,ENSG00000230413,ENSG00000231555,ENSG00000232804,ENSG00000233095,ENSG00000234258,ENSG00000234475,ENSG00000234745,ENSG00000235220,ENSG00000235346,ENSG00000235657,ENSG00000235680,ENSG00000235941,ENSG00000237216,ENSG00000237508,ENSG00000237724,ENSG00000242247	1.0164221502E0	6.06365E-5	2.94087E-3
hsa04640	90	94	13	978	1.31	77	22379	0.34	ANPEP,CD34,CD36,CD4,CD55,CSF1,EPOR,HLA-DRA,HLA-DRB5,IL1R1,IL6,ITGA1,SOX17	ENSG00000004468,ENSG00000005884,ENSG00000005961,ENSG00000010278,ENSG00000012124,ENSG00000026508,ENSG00000049130,ENSG00000056345,ENSG00000072274,ENSG00000077238,ENSG00000085063,ENSG00000090534,ENSG00000090554,ENSG00000091181,ENSG00000091409,ENSG00000095752,ENSG00000104432,ENSG00000104921,ENSG00000107447,ENSG00000108342,ENSG00000110448,ENSG00000113520,ENSG00000113525,ENSG00000115008,ENSG00000115232,ENSG00000115590,ENSG00000115705,ENSG00000116824,ENSG00000117322,ENSG00000119535,ENSG00000122025,ENSG00000124334,ENSG00000125538,ENSG00000130427,ENSG00000134460,ENSG00000137070,ENSG00000150337,ENSG00000153563,ENSG00000156738,ENSG00000158473,ENSG00000158477,ENSG00000158481,ENSG00000158485,ENSG00000158488,ENSG00000160654,ENSG00000160712,ENSG00000161638,ENSG00000164171,ENSG00000164399,ENSG00000164400,ENSG00000167286,ENSG00000168685,ENSG00000169704,ENSG00000169896,ENSG00000170180,ENSG00000170458,ENSG00000172116,ENSG00000173762,ENSG00000177455,ENSG00000178732,ENSG00000182578,ENSG00000185245,ENSG00000185291,ENSG00000196126,ENSG00000196549,ENSG00000198223,ENSG00000198851,ENSG00000203618,ENSG00000203710,ENSG00000204490,ENSG00000206439,ENSG00000223952,ENSG00000228321,ENSG00000228849,ENSG00000230108,ENSG00000231679,ENSG00000232810	1.3515125637E0	1.02086E-4	3.30077E-3
hsa04810	209	209	22	969	2.22	187	22269	0.83	ARHGEF12,CRK,EZR,FGF2,FGF7,GNG7,HOXA5,ITGA1,ITGA9,ITGAX,MAPK3,MSN,MYH10,MYL12A,PDGFB,RDX,RHOA,ROCK1,RRAS,SSH2,TMSB4X,TMSL3	ENSG00000005844,ENSG00000005884,ENSG00000005961,ENSG00000006747,ENSG00000015285,ENSG00000027644,ENSG00000035403,ENSG00000050820,ENSG00000051382,ENSG00000055163,ENSG00000056345,ENSG00000058272,ENSG00000061676,ENSG00000065534,ENSG00000066468,ENSG00000068078,ENSG00000068793,ENSG00000070087,ENSG00000070193,ENSG00000070388,ENSG00000070831,ENSG00000072110,ENSG00000075388,ENSG00000075624,ENSG00000076928,ENSG00000077264,ENSG00000077522,ENSG00000077782,ENSG00000077943,ENSG00000078061,ENSG00000078579,ENSG00000082781,ENSG00000083457,ENSG00000084112,ENSG00000089159,ENSG00000090020,ENSG00000091409,ENSG00000099942,ENSG00000100030,ENSG00000100345,ENSG00000100485,ENSG00000100739,ENSG00000101306,ENSG00000101335,ENSG00000101349,ENSG00000102302,ENSG00000102466,ENSG00000102606,ENSG00000102678,ENSG00000103653,ENSG00000105357,ENSG00000105550,ENSG00000105647,ENSG00000105851,ENSG00000105855,ENSG00000106299,ENSG00000106436,ENSG00000106631,ENSG00000106683,ENSG00000107242,ENSG00000107831,ENSG00000108262,ENSG00000108518,ENSG00000111229,ENSG00000111241,ENSG00000111245,ENSG00000112290,ENSG00000113578,ENSG00000113721,ENSG00000114279,ENSG00000115020,ENSG00000115221,ENSG00000115232,ENSG00000115266,ENSG00000115414,ENSG00000115904,ENSG00000117461,ENSG00000118680,ENSG00000118972,ENSG00000120063,ENSG00000121879,ENSG00000123338,ENSG00000126934,ENSG00000127084,ENSG00000128340,ENSG00000129675,ENSG00000129682,ENSG00000129965,ENSG00000130402,ENSG00000130429,ENSG00000130669,ENSG00000131504,ENSG00000132155,ENSG00000132470,ENSG00000133019,ENSG00000133703,ENSG00000133818,ENSG00000134215,ENSG00000134318,ENSG00000134853,ENSG00000134982,ENSG00000135424,ENSG00000136002,ENSG00000136238,ENSG00000136950,ENSG00000137809,ENSG00000137843,ENSG00000138443,ENSG00000138448,ENSG00000138675,ENSG00000138798,ENSG00000139626,ENSG00000139734,ENSG00000140575,ENSG00000140795,ENSG00000141506,ENSG00000141720,ENSG00000141968,ENSG00000143127,ENSG00000143398,ENSG00000145431,ENSG00000145675,ENSG00000145703,ENSG00000146426,ENSG00000146535,ENSG00000146648,ENSG00000147202,ENSG00000148180,ENSG00000149269,ENSG00000150093,ENSG00000150760,ENSG00000154380,ENSG00000154620,ENSG00000156299,ENSG00000156427,ENSG00000156886,ENSG00000157764,ENSG00000158186,ENSG00000158195,ENSG00000158815,ENSG00000160007,ENSG00000160255,ENSG00000160293,ENSG00000160867,ENSG00000161638,ENSG00000161958,ENSG00000162344,ENSG00000162704,ENSG00000163466,ENSG00000164171,ENSG00000165410,ENSG00000166908,ENSG00000168398,ENSG00000168539,ENSG00000169032,ENSG00000169398,ENSG00000169750,ENSG00000169896,ENSG00000170458,ENSG00000170962,ENSG00000171608,ENSG00000172380,ENSG00000172531,ENSG00000172680,ENSG00000172757,ENSG00000172830,ENSG00000174775,ENSG00000175866,ENSG00000176732,ENSG00000180209,ENSG00000180210,ENSG00000180370,ENSG00000180720,ENSG00000181072,ENSG00000181104,ENSG00000182541,ENSG00000183856,ENSG00000184009,ENSG00000184984,ENSG00000186111,ENSG00000186298,ENSG00000186895,ENSG00000196570,ENSG00000197461,ENSG00000213281,ENSG00000215375,ENSG00000241685	994620.0804E-6	8.09511E-5	3.1409E-3
hsa04350	90	90	12	979	1.21	78	22378	0.35	BMP2,BMPR2,DCN,ID2,MAPK3,PPP2CB,RBL2,RHOA,ROCK1,SMAD6,SMAD7,ZFYVE16	ENSG00000005339,ENSG00000049323,ENSG00000055130,ENSG00000080839,ENSG00000090539,ENSG00000092969,ENSG00000100030,ENSG00000100387,ENSG00000100393,ENSG00000101144,ENSG00000104899,ENSG00000105568,ENSG00000105664,ENSG00000106799,ENSG00000107779,ENSG00000108443,ENSG00000108854,ENSG00000111537,ENSG00000112175,ENSG00000113296,ENSG00000113558,ENSG00000113575,ENSG00000113658,ENSG00000114739,ENSG00000115170,ENSG00000116985,ENSG00000117318,ENSG00000119699,ENSG00000120693,ENSG00000121989,ENSG00000122641,ENSG00000123612,ENSG00000125378,ENSG00000125965,ENSG00000125968,ENSG00000133740,ENSG00000134318,ENSG00000134363,ENSG00000135503,ENSG00000136997,ENSG00000137713,ENSG00000137801,ENSG00000138696,ENSG00000139269,ENSG00000139567,ENSG00000141646,ENSG00000143768,ENSG00000143869,ENSG00000147883,ENSG00000153162,ENSG00000156466,ENSG00000156574,ENSG00000157077,ENSG00000163083,ENSG00000163513,ENSG00000164093,ENSG00000166949,ENSG00000169231,ENSG00000170365,ENSG00000172201,ENSG00000175189,ENSG00000175387,ENSG00000175634,ENSG00000183682,ENSG00000183691,ENSG00000185591,ENSG00000186340,ENSG00000198176,ENSG00000198742,ENSG00000204490,ENSG00000205250,ENSG00000206439,ENSG00000223952,ENSG00000228321,ENSG00000228849,ENSG00000230108,ENSG00000232810,ENSG00000243709	1.2574997929E0	3.9969E-4	7.04909E-3
hsa04510	206	207	20	971	2.02	186	22270	0.83	CAPN2,CAV2,COL4A4,CRK,EGR1,FLT4,HOXA5,ITGA1,ITGA9,JUN,KDR,LAMC3,MAPK3,MYL12A,PDGFB,PRKCB,RHOA,ROCK1,TLN1,VWF	ENSG00000002330,ENSG00000005884,ENSG00000005961,ENSG00000010810,ENSG00000017427,ENSG00000019991,ENSG00000023445,ENSG00000029559,ENSG00000035403,ENSG00000041982,ENSG00000050748,ENSG00000050820,ENSG00000051382,ENSG00000053747,ENSG00000056345,ENSG00000058085,ENSG00000058272,ENSG00000058335,ENSG00000060718,ENSG00000065534,ENSG00000070831,ENSG00000072110,ENSG00000075624,ENSG00000077264,ENSG00000077522,ENSG00000077943,ENSG00000080573,ENSG00000082701,ENSG00000082781,ENSG00000089159,ENSG00000091128,ENSG00000091136,ENSG00000091409,ENSG00000099942,ENSG00000100030,ENSG00000100485,ENSG00000100852,ENSG00000101306,ENSG00000101335,ENSG00000101349,ENSG00000101680,ENSG00000101966,ENSG00000102755,ENSG00000105221,ENSG00000105647,ENSG00000105664,ENSG00000105851,ENSG00000105855,ENSG00000105974,ENSG00000105976,ENSG00000106436,ENSG00000106631,ENSG00000107263,ENSG00000107643,ENSG00000108821,ENSG00000109072,ENSG00000109339,ENSG00000110092,ENSG00000110330,ENSG00000111245,ENSG00000112576,ENSG00000112715,ENSG00000112769,ENSG00000113296,ENSG00000113721,ENSG00000115221,ENSG00000115232,ENSG00000115414,ENSG00000115904,ENSG00000116147,ENSG00000116473,ENSG00000117020,ENSG00000117461,ENSG00000118680,ENSG00000118785,ENSG00000118971,ENSG00000119630,ENSG00000120332,ENSG00000121879,ENSG00000125753,ENSG00000126583,ENSG00000126767,ENSG00000127314,ENSG00000128340,ENSG00000128591,ENSG00000129946,ENSG00000130402,ENSG00000130635,ENSG00000130669,ENSG00000130702,ENSG00000131504,ENSG00000132155,ENSG00000132470,ENSG00000134215,ENSG00000134318,ENSG00000134853,ENSG00000134871,ENSG00000135424,ENSG00000135862,ENSG00000136068,ENSG00000136238,ENSG00000136457,ENSG00000137801,ENSG00000137809,ENSG00000137843,ENSG00000138448,ENSG00000138798,ENSG00000138964,ENSG00000139219,ENSG00000139626,ENSG00000140443,ENSG00000140795,ENSG00000140992,ENSG00000141506,ENSG00000141736,ENSG00000141968,ENSG00000142156,ENSG00000142173,ENSG00000142208,ENSG00000143127,ENSG00000145431,ENSG00000145675,ENSG00000146648,ENSG00000149269,ENSG00000150093,ENSG00000150630,ENSG00000150760,ENSG00000154229,ENSG00000157764,ENSG00000159840,ENSG00000160007,ENSG00000160293,ENSG00000160691,ENSG00000161638,ENSG00000163359,ENSG00000164171,ENSG00000164692,ENSG00000165197,ENSG00000166333,ENSG00000168036,ENSG00000168477,ENSG00000168542,ENSG00000169032,ENSG00000169231,ENSG00000169398,ENSG00000169750,ENSG00000170962,ENSG00000171608,ENSG00000171791,ENSG00000171862,ENSG00000171914,ENSG00000172037,ENSG00000172531,ENSG00000173511,ENSG00000174775,ENSG00000177885,ENSG00000180209,ENSG00000180370,ENSG00000182533,ENSG00000184009,ENSG00000185634,ENSG00000186111,ENSG00000186298,ENSG00000186340,ENSG00000188677,ENSG00000189056,ENSG00000196569,ENSG00000196878,ENSG00000196924,ENSG00000197122,ENSG00000197461,ENSG00000197565,ENSG00000197702,ENSG00000204248,ENSG00000204262,ENSG00000206258,ENSG00000206290,ENSG00000206384,ENSG00000215375,ENSG00000227801,ENSG00000230930,ENSG00000231608,ENSG00000233323,ENSG00000235708,ENSG00000236221,ENSG00000236236	902654.8918E-6	4.8721E-4	7.87657E-3
hsa04621	69	68	11	980	1.11	58	22398	0.26	CARD8,CCL2,CXCL2,HOXA5,IL6,MAPK3,MEFV,NFKBIA,NOD1,RIPK2,SOX17	ENSG00000023445,ENSG00000050748,ENSG00000055208,ENSG00000064012,ENSG00000073009,ENSG00000080824,ENSG00000081770,ENSG00000087077,ENSG00000091106,ENSG00000091592,ENSG00000096384,ENSG00000100030,ENSG00000100324,ENSG00000101966,ENSG00000103490,ENSG00000104825,ENSG00000107643,ENSG00000108688,ENSG00000108700,ENSG00000109320,ENSG00000109339,ENSG00000110330,ENSG00000112062,ENSG00000112851,ENSG00000118168,ENSG00000118503,ENSG00000125538,ENSG00000132357,ENSG00000135341,ENSG00000137752,ENSG00000137757,ENSG00000140368,ENSG00000150782,ENSG00000156711,ENSG00000157625,ENSG00000161570,ENSG00000162711,ENSG00000163739,ENSG00000165416,ENSG00000166598,ENSG00000167207,ENSG00000169429,ENSG00000169900,ENSG00000172156,ENSG00000173039,ENSG00000175104,ENSG00000181374,ENSG00000185386,ENSG00000187796,ENSG00000188130,ENSG00000204490,ENSG00000206439,ENSG00000213341,ENSG00000223952,ENSG00000228321,ENSG00000228849,ENSG00000230108,ENSG00000232810	1.4666266387E0	1.40237E-4	3.88658E-3
hsa04620	108	107	14	977	1.41	94	22362	0.42	CCL4,FOS,HOXA5,IFNAR1,IL6,JUN,MAP2K3,MAP3K8,MAPK3,MYD88,NFKBIA,RIPK1,SOX17,TLR7	ENSG00000006075,ENSG00000050748,ENSG00000051382,ENSG00000055208,ENSG00000064012,ENSG00000065559,ENSG00000073009,ENSG00000076984,ENSG00000078902,ENSG00000100030,ENSG00000100324,ENSG00000101017,ENSG00000101916,ENSG00000105221,ENSG00000105647,ENSG00000105851,ENSG00000107643,ENSG00000108984,ENSG00000109320,ENSG00000109339,ENSG00000112062,ENSG00000113302,ENSG00000114013,ENSG00000115415,ENSG00000117020,ENSG00000117461,ENSG00000118785,ENSG00000120235,ENSG00000120242,ENSG00000121594,ENSG00000121879,ENSG00000125538,ENSG00000126456,ENSG00000126934,ENSG00000127666,ENSG00000128604,ENSG00000129988,ENSG00000131323,ENSG00000135341,ENSG00000136238,ENSG00000136869,ENSG00000137080,ENSG00000137462,ENSG00000138755,ENSG00000141506,ENSG00000142208,ENSG00000143466,ENSG00000145675,ENSG00000147873,ENSG00000147885,ENSG00000150455,ENSG00000154589,ENSG00000156711,ENSG00000159110,ENSG00000161570,ENSG00000164342,ENSG00000168040,ENSG00000168811,ENSG00000169032,ENSG00000169245,ENSG00000169248,ENSG00000169429,ENSG00000170458,ENSG00000171608,ENSG00000171855,ENSG00000173039,ENSG00000173366,ENSG00000174125,ENSG00000174130,ENSG00000175104,ENSG00000183735,ENSG00000184216,ENSG00000185386,ENSG00000185507,ENSG00000186803,ENSG00000187554,ENSG00000188130,ENSG00000188379,ENSG00000197919,ENSG00000198001,ENSG00000204490,ENSG00000206439,ENSG00000213341,ENSG00000214042,ENSG00000223952,ENSG00000228083,ENSG00000228321,ENSG00000228849,ENSG00000230108,ENSG00000232810,ENSG00000234829,ENSG00000236637,ENSG00000239732,ENSG00000243414	1.226394264E0	1.83441E-4	4.02291E-3
