#term	term_size	term_size_in_genome	list1_positives	list1_negatives	list1_percentage	list2_positives	list2_negatives	list2_percentage	list1_positive_ids	list2_positive_ids	odds_ratio_log	pvalue	adj_pvalue
h_alkPathway	25	30	3	793	0.38	22	19504	0.11	ACVR1,FOXC1,FOXL1	ENSG00000035928,ENSG00000069702,ENSG00000082701,ENSG00000101144,ENSG00000103126,ENSG00000106799,ENSG00000107779,ENSG00000112175,ENSG00000119699,ENSG00000125084,ENSG00000125845,ENSG00000134982,ENSG00000135100,ENSG00000137834,ENSG00000141646,ENSG00000157240,ENSG00000163217,ENSG00000168036,ENSG00000169962,ENSG00000183072,ENSG00000183691,ENSG00000204217	1.2101214654E0	7.26755E-2	1.43244E-1
h_erbB4pathway	4	7	2	794	0.25	2	19524	0.01	ADAM17,FOXC1	ENSG00000154229,ENSG00000178568	3.2023162958E0	8.72232E-3	4.02114E-2
h_notchpathway	6	6	3	793	0.38	3	19523	0.02	ADAM17,FOXC1,NOTCH1	ENSG00000140564,ENSG00000168214,ENSG00000198719	3.203525315E0	1.09564E-3	1.42182E-2
h_ps1Pathway	13	14	3	793	0.38	10	19516	0.05	ADAM17,FOXC1,NOTCH1	ENSG00000082701,ENSG00000103126,ENSG00000125084,ENSG00000134982,ENSG00000135100,ENSG00000157240,ENSG00000168036,ENSG00000168214,ENSG00000169962,ENSG00000198719	1.999193895E0	1.27584E-2	5.17953E-2
h_barr-mapkPathway	12	12	4	792	0.5	8	19518	0.04	ADRBK1,FOXC1,FOXL1,MAP2K1	ENSG00000087460,ENSG00000102882,ENSG00000111262,ENSG00000137486,ENSG00000164742,ENSG00000177272,ENSG00000177301,ENSG00000182621	2.5113838233E0	8.98851E-4	1.28678E-2
h_bArrestin-srcPathway	13	14	4	792	0.5	9	19517	0.05	ADRBK1,FOXC1,FOXL1,MAP2K1	ENSG00000000938,ENSG00000087460,ENSG00000102882,ENSG00000111262,ENSG00000137486,ENSG00000164742,ENSG00000177272,ENSG00000177301,ENSG00000182621	2.3935495516E0	1.25828E-3	1.5557E-2
h_bArrestinPathway	11	11	2	794	0.25	9	19517	0.05	ADRBK1,FOXC1	ENSG00000087460,ENSG00000111262,ENSG00000137486,ENSG00000161203,ENSG00000164742,ENSG00000177272,ENSG00000177301,ENSG00000182621,ENSG00000186951	1.6978803016E0	6.66748E-2	1.32376E-1
h_arapPathway	15	14	4	792	0.5	11	19515	0.06	ARFGEF1,ARFGEF2,FOXC1,FOXL1	ENSG00000008256,ENSG00000047365,ENSG00000100055,ENSG00000101199,ENSG00000105443,ENSG00000107862,ENSG00000112293,ENSG00000151693,ENSG00000153317,ENSG00000175416,ENSG00000186635	2.1927763761E0	2.25655E-3	1.85994E-2
h_cellcyclePathway	14	17	3	793	0.38	11	19515	0.06	CCND2,FOXC1,FOXL1	ENSG00000080839,ENSG00000105173,ENSG00000110092,ENSG00000111276,ENSG00000123080,ENSG00000123374,ENSG00000124762,ENSG00000129355,ENSG00000134057,ENSG00000164045,ENSG00000198176	1.9038324738E0	1.57723E-2	5.7201E-2
h_cdc25Pathway	8	8	2	794	0.25	6	19520	0.03	CDC25B,FOXC1	ENSG00000128245,ENSG00000149311,ENSG00000149554,ENSG00000158402,ENSG00000164045,ENSG00000166483	2.1034991101E0	3.66714E-2	8.74966E-2
h_g2Pathway	21	22	3	793	0.38	18	19508	0.09	CDC25B,EP300,FOXC1	ENSG00000012048,ENSG00000116717,ENSG00000117676,ENSG00000121031,ENSG00000124762,ENSG00000128245,ENSG00000129355,ENSG00000134057,ENSG00000134308,ENSG00000135679,ENSG00000141510,ENSG00000149311,ENSG00000149554,ENSG00000158402,ENSG00000164045,ENSG00000166483,ENSG00000166851,ENSG00000175054	1.410997226E0	4.70953E-2	1.02479E-1
h_ptc1Pathway	9	9	3	793	0.38	6	19520	0.03	CDC25B,FOXC1,FOXL1	ENSG00000020426,ENSG00000134057,ENSG00000158402,ENSG00000164045,ENSG00000164690,ENSG00000185920	2.5102244578E0	4.21235E-3	2.728E-2
h_rbPathway	10	11	2	794	0.25	8	19518	0.04	CDC25B,FOXC1	ENSG00000123374,ENSG00000128245,ENSG00000141510,ENSG00000149311,ENSG00000149554,ENSG00000158402,ENSG00000164045,ENSG00000166483	1.8157145733E0	5.59708E-2	1.15334E-1
h_srcRPTPPathway	8	9	2	794	0.25	6	19520	0.03	CDC25B,FOXC1	ENSG00000103653,ENSG00000132670,ENSG00000134057,ENSG00000154229,ENSG00000158402,ENSG00000164045	2.1034991101E0	3.66714E-2	8.74966E-2
h_vdrPathway	19	21	4	792	0.5	15	19511	0.08	COPS2,EP300,FOXC1,MED1	ENSG00000005339,ENSG00000066117,ENSG00000077097,ENSG00000084676,ENSG00000103197,ENSG00000111424,ENSG00000114166,ENSG00000116478,ENSG00000117713,ENSG00000126457,ENSG00000127616,ENSG00000130733,ENSG00000139613,ENSG00000141027,ENSG00000167670	1.8824164563E0	5.65728E-3	3.1166E-2
h_ctcfPathway	16	21	5	791	0.63	11	19515	0.06	CTCF,FOXC1,FOXL1,MTOR,MYC	ENSG00000069702,ENSG00000105369,ENSG00000106799,ENSG00000111276,ENSG00000119699,ENSG00000121879,ENSG00000135679,ENSG00000141510,ENSG00000141646,ENSG00000171862,ENSG00000225134	2.4171833515E0	2.773E-4	1.10445E-2
h_eif2Pathway	11	10	3	793	0.38	8	19518	0.04	EIF2AK3,EIF2S1,FOXL1	ENSG00000055332,ENSG00000082701,ENSG00000086232,ENSG00000100664,ENSG00000125977,ENSG00000128829,ENSG00000130741,ENSG00000145191	2.2224399211E0	7.8031E-3	3.65939E-2
h_chemicalPathway	14	15	3	793	0.38	11	19515	0.06	EIF2S1,FOXC1,FOXL1	ENSG00000015475,ENSG00000120868,ENSG00000132906,ENSG00000137076,ENSG00000141510,ENSG00000142208,ENSG00000143799,ENSG00000149311,ENSG00000154229,ENSG00000164305,ENSG00000165806	1.9038324738E0	1.57723E-2	5.7201E-2
h_eifPathway	12	13	2	794	0.25	10	19516	0.05	EIF2S1,FOXL1	ENSG00000075151,ENSG00000100664,ENSG00000107581,ENSG00000110321,ENSG00000114867,ENSG00000125977,ENSG00000130741,ENSG00000156976,ENSG00000167658,ENSG00000173674	1.5924685473E0	7.79888E-2	1.47312E-1
h_igf1mtorpathway	16	18	4	792	0.5	12	19514	0.06	EIF2S1,FOXC1,FOXL1,MTOR	ENSG00000005882,ENSG00000017427,ENSG00000082701,ENSG00000121879,ENSG00000125977,ENSG00000130741,ENSG00000140443,ENSG00000142208,ENSG00000145191,ENSG00000165458,ENSG00000171862,ENSG00000225134	2.1057137552E0	2.91629E-3	2.08745E-2
h_rnaPathway	8	7	3	793	0.38	5	19521	0.03	EIF2S1,FOXC1,FOXL1	ENSG00000006062,ENSG00000055332,ENSG00000102580,ENSG00000125977,ENSG00000141510	2.6925972428E0	2.89204E-3	2.08745E-2
h_vegfPathway	19	23	4	792	0.5	15	19511	0.08	EIF2S1,FOXC1,FOXL1,VHL	ENSG00000037280,ENSG00000066044,ENSG00000112715,ENSG00000115211,ENSG00000121879,ENSG00000124181,ENSG00000125977,ENSG00000128052,ENSG00000130741,ENSG00000143437,ENSG00000145191,ENSG00000154229,ENSG00000164867,ENSG00000173674,ENSG00000225134	1.8824164563E0	5.65728E-3	3.1166E-2
h_carm-erPathway	18	22	5	791	0.63	13	19513	0.07	EP300,FOXC1,FOXL1,MED1,NRIP1	ENSG00000005339,ENSG00000012048,ENSG00000091831,ENSG00000094631,ENSG00000110092,ENSG00000116478,ENSG00000130733,ENSG00000155974,ENSG00000165417,ENSG00000169297,ENSG00000171720,ENSG00000196498,ENSG00000196591	2.2500267763E0	5.09586E-4	1.12125E-2
h_carm1Pathway	8	10	2	794	0.25	6	19520	0.03	EP300,FOXC1	ENSG00000005249,ENSG00000005339,ENSG00000118260,ENSG00000130733,ENSG00000142875,ENSG00000165059	2.1034991101E0	3.66714E-2	8.74966E-2
h_her2Pathway	17	22	5	791	0.63	12	19514	0.06	EP300,FOXC1,FOXL1,MAP2K1,SOS1	ENSG00000065361,ENSG00000091831,ENSG00000102882,ENSG00000121879,ENSG00000130733,ENSG00000141736,ENSG00000146648,ENSG00000155974,ENSG00000160712,ENSG00000168610,ENSG00000178568,ENSG00000225134	2.3301207305E0	3.80229E-4	1.10445E-2
h_hifPathway	14	14	3	793	0.38	11	19515	0.06	EP300,FOXC1,VHL	ENSG00000078401,ENSG00000080824,ENSG00000112715,ENSG00000118260,ENSG00000130427,ENSG00000134333,ENSG00000143437,ENSG00000164867,ENSG00000177606,ENSG00000185624,ENSG00000198363	1.9038324738E0	1.57723E-2	5.7201E-2
h_il7Pathway	12	14	4	792	0.5	8	19518	0.04	EP300,FOXC1,FOXL1,JAK3	ENSG00000005339,ENSG00000104432,ENSG00000120899,ENSG00000121879,ENSG00000123609,ENSG00000126561,ENSG00000182866,ENSG00000225134	2.5113838233E0	8.98851E-4	1.28678E-2
h_mef2dPathway	11	13	2	794	0.25	9	19517	0.05	EP300,FOXC1	ENSG00000116478,ENSG00000120910,ENSG00000131196,ENSG00000138814,ENSG00000154229,ENSG00000160014,ENSG00000162909,ENSG00000196591,ENSG00000198668	1.6978803016E0	6.66748E-2	1.32376E-1
h_melanocytepathway	7	7	2	794	0.25	5	19521	0.03	EP300,FOXC1	ENSG00000049130,ENSG00000117676,ENSG00000118260,ENSG00000157404,ENSG00000187098	2.285871895E0	2.82265E-2	7.99752E-2
h_nthiPathway	22	22	2	794	0.25	20	19506	0.1	EP300,FOXC1	ENSG00000005339,ENSG00000006062,ENSG00000034152,ENSG00000106799,ENSG00000112062,ENSG00000113580,ENSG00000120129,ENSG00000125538,ENSG00000141646,ENSG00000166949,ENSG00000169429,ENSG00000172936,ENSG00000185386,ENSG00000204490,ENSG00000206439,ENSG00000223952,ENSG00000228321,ENSG00000228849,ENSG00000230108,ENSG00000232810	898808.83529E-6	2.12439E-1	3.00459E-1
h_p53hypoxiaPathway	18	19	3	793	0.38	15	19511	0.08	EP300,FOXC1,FOXL1	ENSG00000080824,ENSG00000085563,ENSG00000104825,ENSG00000116717,ENSG00000124762,ENSG00000132002,ENSG00000132383,ENSG00000135679,ENSG00000141510,ENSG00000142208,ENSG00000146674,ENSG00000147133,ENSG00000149311,ENSG00000177374,ENSG00000231555	1.593472554E0	3.14934E-2	8.74101E-2
h_pelp1Pathway	5	5	2	794	0.25	3	19523	0.02	EP300,FOXL1	ENSG00000005339,ENSG00000091831,ENSG00000102882	2.7967999673E0	1.4161E-2	5.42506E-2
