#term	term_size	term_size_in_genome	list1_positives	list1_negatives	list1_percentage	list2_positives	list2_negatives	list2_percentage	list1_positive_ids	list2_positive_ids	odds_ratio_log	pvalue	adj_pvalue
hsa02010	50	55	3	793	0.38	47	19479	0.24	ABCB8,FOXC1,FOXL1	ENSG00000001626,ENSG00000005471,ENSG00000006071,ENSG00000023839,ENSG00000064687,ENSG00000069431,ENSG00000073734,ENSG00000085563,ENSG00000101986,ENSG00000103222,ENSG00000107331,ENSG00000108846,ENSG00000115657,ENSG00000117528,ENSG00000118777,ENSG00000119688,ENSG00000121270,ENSG00000124574,ENSG00000125257,ENSG00000131269,ENSG00000138075,ENSG00000140798,ENSG00000141338,ENSG00000143921,ENSG00000150967,ENSG00000154262,ENSG00000154263,ENSG00000154265,ENSG00000160179,ENSG00000165029,ENSG00000167972,ENSG00000168394,ENSG00000172350,ENSG00000198691,ENSG00000206235,ENSG00000206297,ENSG00000206299,ENSG00000223481,ENSG00000224212,ENSG00000225967,ENSG00000226173,ENSG00000227816,ENSG00000228582,ENSG00000230705,ENSG00000232326,ENSG00000232367,ENSG00000237060	449733.7065E-6	3.11793E-1	4.32056E-1
hsa04510	174	207	10	786	1.26	164	19362	0.84	ACTG1,CCND2,FLNB,FOXC1,FOXL1,ITGA6,LAMC1,MAP2K1,RAP1A,SOS1	ENSG00000002330,ENSG00000005961,ENSG00000010810,ENSG00000017427,ENSG00000019991,ENSG00000023445,ENSG00000037280,ENSG00000041982,ENSG00000050555,ENSG00000050748,ENSG00000051382,ENSG00000053747,ENSG00000056345,ENSG00000058085,ENSG00000058335,ENSG00000060718,ENSG00000065534,ENSG00000067560,ENSG00000067900,ENSG00000070831,ENSG00000072110,ENSG00000075624,ENSG00000077264,ENSG00000077522,ENSG00000080573,ENSG00000081052,ENSG00000082701,ENSG00000082781,ENSG00000089159,ENSG00000091128,ENSG00000091136,ENSG00000099942,ENSG00000100311,ENSG00000100485,ENSG00000100852,ENSG00000101335,ENSG00000101349,ENSG00000101608,ENSG00000101966,ENSG00000102755,ENSG00000102882,ENSG00000105221,ENSG00000105647,ENSG00000105664,ENSG00000105855,ENSG00000105971,ENSG00000105974,ENSG00000105976,ENSG00000106436,ENSG00000106631,ENSG00000107263,ENSG00000108821,ENSG00000109072,ENSG00000109339,ENSG00000110092,ENSG00000110330,ENSG00000110799,ENSG00000112576,ENSG00000112715,ENSG00000112769,ENSG00000113296,ENSG00000113721,ENSG00000115221,ENSG00000115232,ENSG00000115414,ENSG00000116147,ENSG00000117020,ENSG00000117461,ENSG00000118680,ENSG00000118785,ENSG00000119630,ENSG00000121879,ENSG00000125753,ENSG00000126767,ENSG00000127314,ENSG00000128052,ENSG00000128340,ENSG00000128591,ENSG00000129946,ENSG00000130402,ENSG00000130635,ENSG00000130669,ENSG00000130702,ENSG00000132470,ENSG00000134215,ENSG00000134318,ENSG00000134853,ENSG00000135424,ENSG00000136238,ENSG00000136457,ENSG00000137076,ENSG00000137801,ENSG00000137809,ENSG00000137843,ENSG00000138448,ENSG00000138798,ENSG00000138964,ENSG00000140443,ENSG00000140795,ENSG00000141506,ENSG00000141736,ENSG00000141968,ENSG00000142156,ENSG00000142173,ENSG00000142208,ENSG00000144668,ENSG00000145431,ENSG00000146648,ENSG00000148082,ENSG00000149269,ENSG00000150093,ENSG00000150760,ENSG00000154229,ENSG00000160007,ENSG00000160293,ENSG00000161638,ENSG00000162909,ENSG00000163359,ENSG00000164692,ENSG00000165197,ENSG00000166333,ENSG00000168036,ENSG00000168477,ENSG00000169231,ENSG00000169398,ENSG00000169750,ENSG00000171608,ENSG00000171862,ENSG00000171914,ENSG00000172037,ENSG00000172531,ENSG00000173511,ENSG00000174775,ENSG00000177606,ENSG00000180209,ENSG00000180370,ENSG00000182533,ENSG00000186111,ENSG00000186298,ENSG00000186340,ENSG00000187498,ENSG00000188677,ENSG00000189056,ENSG00000196878,ENSG00000196924,ENSG00000197122,ENSG00000197461,ENSG00000197565,ENSG00000197702,ENSG00000204248,ENSG00000204262,ENSG00000206258,ENSG00000206290,ENSG00000206384,ENSG00000213639,ENSG00000213949,ENSG00000215375,ENSG00000227801,ENSG00000230930,ENSG00000231608,ENSG00000233323,ENSG00000235708,ENSG00000236221,ENSG00000236236	406829.53402E-6	1.4616E-1	2.78877E-1
hsa04520	67	80	5	791	0.63	62	19464	0.32	ACTG1,EP300,FOXC1,FOXL1,WASF2	ENSG00000005339,ENSG00000010810,ENSG00000015285,ENSG00000019549,ENSG00000039068,ENSG00000044115,ENSG00000067560,ENSG00000070770,ENSG00000070831,ENSG00000072110,ENSG00000075624,ENSG00000077522,ENSG00000077782,ENSG00000081059,ENSG00000087095,ENSG00000095637,ENSG00000102882,ENSG00000105976,ENSG00000106299,ENSG00000106799,ENSG00000110400,ENSG00000111679,ENSG00000112290,ENSG00000117155,ENSG00000124216,ENSG00000128340,ENSG00000130202,ENSG00000130396,ENSG00000130402,ENSG00000132970,ENSG00000135341,ENSG00000135503,ENSG00000136153,ENSG00000136238,ENSG00000140443,ENSG00000140575,ENSG00000141646,ENSG00000141736,ENSG00000143217,ENSG00000143727,ENSG00000146648,ENSG00000148737,ENSG00000149177,ENSG00000151422,ENSG00000166949,ENSG00000168036,ENSG00000169750,ENSG00000171105,ENSG00000173482,ENSG00000175387,ENSG00000175866,ENSG00000176105,ENSG00000183230,ENSG00000196396,ENSG00000197122,ENSG00000204435,ENSG00000206406,ENSG00000224398,ENSG00000224774,ENSG00000228875,ENSG00000230700,ENSG00000232960	685327.44408E-6	1.21725E-1	2.66767E-1
hsa04530	110	136	7	789	0.88	103	19423	0.53	ACTG1,CLDN15,FOXC1,FOXL1,GNAI1,NRAS,ZAK	ENSG00000006788,ENSG00000044115,ENSG00000060138,ENSG00000065135,ENSG00000065675,ENSG00000067560,ENSG00000067606,ENSG00000070770,ENSG00000070831,ENSG00000072110,ENSG00000073350,ENSG00000074211,ENSG00000075624,ENSG00000077522,ENSG00000078814,ENSG00000079819,ENSG00000081026,ENSG00000082397,ENSG00000085733,ENSG00000088367,ENSG00000092054,ENSG00000101335,ENSG00000101558,ENSG00000101608,ENSG00000102981,ENSG00000105221,ENSG00000105289,ENSG00000105357,ENSG00000105568,ENSG00000106436,ENSG00000106631,ENSG00000109061,ENSG00000109063,ENSG00000113575,ENSG00000114353,ENSG00000116539,ENSG00000117020,ENSG00000118680,ENSG00000119139,ENSG00000124171,ENSG00000125414,ENSG00000125755,ENSG00000126458,ENSG00000130396,ENSG00000130402,ENSG00000130545,ENSG00000131558,ENSG00000133020,ENSG00000133026,ENSG00000133392,ENSG00000133703,ENSG00000135446,ENSG00000141048,ENSG00000142208,ENSG00000143375,ENSG00000143545,ENSG00000144821,ENSG00000147044,ENSG00000151276,ENSG00000154229,ENSG00000154721,ENSG00000156282,ENSG00000156284,ENSG00000158186,ENSG00000158769,ENSG00000159261,ENSG00000163558,ENSG00000163932,ENSG00000164007,ENSG00000165215,ENSG00000165376,ENSG00000166086,ENSG00000168036,ENSG00000169213,ENSG00000171217,ENSG00000171862,ENSG00000174775,ENSG00000175470,ENSG00000176105,ENSG00000177300,ENSG00000180104,ENSG00000180209,ENSG00000180353,ENSG00000181885,ENSG00000183067,ENSG00000183230,ENSG00000184113,ENSG00000184697,ENSG00000187391,ENSG00000189143,ENSG00000197122,ENSG00000197616,ENSG00000197694,ENSG00000204435,ENSG00000206406,ENSG00000213937,ENSG00000215375,ENSG00000221914,ENSG00000224398,ENSG00000224774,ENSG00000228875,ENSG00000230700,ENSG00000232960	514628.04981E-6	1.40599E-1	2.78877E-1
hsa04670	91	113	6	790	0.75	85	19441	0.44	ACTG1,CLDN15,FOXC1,FOXL1,GNAI1,RAP1A	ENSG00000002586,ENSG00000005844,ENSG00000007952,ENSG00000044115,ENSG00000051382,ENSG00000051523,ENSG00000065135,ENSG00000067560,ENSG00000067900,ENSG00000070831,ENSG00000072110,ENSG00000074966,ENSG00000075624,ENSG00000077522,ENSG00000079337,ENSG00000087245,ENSG00000089159,ENSG00000090339,ENSG00000092820,ENSG00000100852,ENSG00000100985,ENSG00000101335,ENSG00000101608,ENSG00000105647,ENSG00000106436,ENSG00000106631,ENSG00000107562,ENSG00000112062,ENSG00000113263,ENSG00000114353,ENSG00000115232,ENSG00000117461,ENSG00000118680,ENSG00000120899,ENSG00000121879,ENSG00000121966,ENSG00000124181,ENSG00000125753,ENSG00000127314,ENSG00000128340,ENSG00000130396,ENSG00000130402,ENSG00000134215,ENSG00000134318,ENSG00000136238,ENSG00000141506,ENSG00000141968,ENSG00000147065,ENSG00000149564,ENSG00000150093,ENSG00000154096,ENSG00000154229,ENSG00000154721,ENSG00000156282,ENSG00000156284,ENSG00000156711,ENSG00000158769,ENSG00000159261,ENSG00000160007,ENSG00000160255,ENSG00000160293,ENSG00000164007,ENSG00000165178,ENSG00000165215,ENSG00000165376,ENSG00000166086,ENSG00000168036,ENSG00000168421,ENSG00000169398,ENSG00000171217,ENSG00000171608,ENSG00000177300,ENSG00000179295,ENSG00000179776,ENSG00000180209,ENSG00000181885,ENSG00000183230,ENSG00000184113,ENSG00000184697,ENSG00000185386,ENSG00000188130,ENSG00000189143,ENSG00000213445,ENSG00000213937,ENSG00000215375	552214.7843E-6	1.46626E-1	2.78877E-1
hsa04810	172	209	9	787	1.13	163	19363	0.83	ACTG1,FOXC1,FOXL1,GNA12,ITGA6,MAP2K1,NRAS,SOS1,WASF2	ENSG00000005844,ENSG00000005961,ENSG00000006747,ENSG00000015285,ENSG00000027644,ENSG00000051382,ENSG00000055163,ENSG00000056345,ENSG00000061676,ENSG00000065534,ENSG00000067560,ENSG00000067900,ENSG00000068078,ENSG00000070087,ENSG00000070193,ENSG00000070388,ENSG00000070831,ENSG00000072110,ENSG00000075388,ENSG00000075624,ENSG00000076928,ENSG00000077264,ENSG00000077522,ENSG00000077782,ENSG00000078061,ENSG00000078579,ENSG00000082781,ENSG00000083457,ENSG00000089159,ENSG00000090020,ENSG00000092820,ENSG00000099942,ENSG00000100311,ENSG00000100485,ENSG00000101335,ENSG00000101349,ENSG00000101608,ENSG00000102466,ENSG00000102606,ENSG00000102678,ENSG00000102882,ENSG00000103653,ENSG00000105357,ENSG00000105550,ENSG00000105647,ENSG00000105855,ENSG00000106299,ENSG00000106436,ENSG00000106631,ENSG00000106683,ENSG00000107242,ENSG00000107831,ENSG00000108262,ENSG00000108518,ENSG00000111241,ENSG00000112290,ENSG00000113578,ENSG00000113721,ENSG00000114279,ENSG00000115221,ENSG00000115232,ENSG00000115266,ENSG00000115414,ENSG00000117461,ENSG00000118680,ENSG00000118972,ENSG00000120063,ENSG00000121879,ENSG00000126458,ENSG00000126934,ENSG00000127084,ENSG00000128340,ENSG00000129675,ENSG00000129682,ENSG00000129965,ENSG00000130402,ENSG00000130429,ENSG00000130669,ENSG00000132470,ENSG00000133019,ENSG00000133026,ENSG00000133703,ENSG00000134215,ENSG00000134318,ENSG00000134853,ENSG00000134982,ENSG00000135424,ENSG00000136002,ENSG00000136238,ENSG00000136950,ENSG00000137710,ENSG00000137809,ENSG00000137843,ENSG00000138443,ENSG00000138448,ENSG00000138685,ENSG00000138798,ENSG00000139734,ENSG00000140285,ENSG00000140575,ENSG00000140678,ENSG00000140795,ENSG00000141506,ENSG00000141720,ENSG00000141968,ENSG00000143398,ENSG00000144668,ENSG00000145431,ENSG00000145703,ENSG00000146648,ENSG00000147065,ENSG00000147202,ENSG00000148180,ENSG00000149269,ENSG00000150093,ENSG00000150760,ENSG00000150867,ENSG00000154380,ENSG00000154620,ENSG00000156427,ENSG00000156886,ENSG00000158186,ENSG00000158815,ENSG00000160007,ENSG00000160255,ENSG00000160293,ENSG00000160867,ENSG00000161638,ENSG00000161958,ENSG00000162344,ENSG00000163466,ENSG00000165410,ENSG00000166908,ENSG00000168398,ENSG00000168539,ENSG00000169398,ENSG00000169750,ENSG00000170458,ENSG00000171608,ENSG00000172380,ENSG00000172531,ENSG00000172680,ENSG00000172757,ENSG00000172830,ENSG00000174775,ENSG00000175866,ENSG00000176732,ENSG00000180209,ENSG00000180370,ENSG00000180720,ENSG00000181104,ENSG00000182541,ENSG00000183856,ENSG00000186111,ENSG00000186298,ENSG00000186895,ENSG00000187653,ENSG00000196570,ENSG00000197461,ENSG00000205542,ENSG00000213639,ENSG00000213949,ENSG00000215375	306365.43562E-6	2.3344E-1	3.59423E-1
hsa05110	54	60	7	789	0.88	47	19479	0.24	ACTG1,ATP6V1A,ATP6V1C1,ATP6V1F,FOXC1,FOXL1,SEC61B	ENSG00000001626,ENSG00000033627,ENSG00000047249,ENSG00000053918,ENSG00000058262,ENSG00000064651,ENSG00000065665,ENSG00000071553,ENSG00000075624,ENSG00000087460,ENSG00000100196,ENSG00000105438,ENSG00000105929,ENSG00000110719,ENSG00000113732,ENSG00000116039,ENSG00000117410,ENSG00000119139,ENSG00000124181,ENSG00000132432,ENSG00000136240,ENSG00000136888,ENSG00000138031,ENSG00000142875,ENSG00000143761,ENSG00000143882,ENSG00000147416,ENSG00000147614,ENSG00000151418,ENSG00000154229,ENSG00000159720,ENSG00000162104,ENSG00000165059,ENSG00000171130,ENSG00000171142,ENSG00000183943,ENSG00000185344,ENSG00000185883,ENSG00000197930,ENSG00000198788,ENSG00000206445,ENSG00000213760,ENSG00000226850,ENSG00000227587,ENSG00000230900,ENSG00000234668,ENSG00000234920	1.3020884677E0	4.91478E-3	6.42011E-2
hsa05130	55	61	4	792	0.5	51	19475	0.26	ACTG1,FOXC1,FOXL1,NCK2	ENSG00000010810,ENSG00000015285,ENSG00000039068,ENSG00000067560,ENSG00000067900,ENSG00000070831,ENSG00000075624,ENSG00000075886,ENSG00000085733,ENSG00000092820,ENSG00000097007,ENSG00000101162,ENSG00000104833,ENSG00000106299,ENSG00000111057,ENSG00000115053,ENSG00000116584,ENSG00000127589,ENSG00000127824,ENSG00000130429,ENSG00000134308,ENSG00000134318,ENSG00000136950,ENSG00000137267,ENSG00000137285,ENSG00000150093,ENSG00000152086,ENSG00000154229,ENSG00000154589,ENSG00000158092,ENSG00000163466,ENSG00000164924,ENSG00000167552,ENSG00000167553,ENSG00000168036,ENSG00000170458,ENSG00000176014,ENSG00000178462,ENSG00000180353,ENSG00000183311,ENSG00000183785,ENSG00000187554,ENSG00000196230,ENSG00000198033,ENSG00000198211,ENSG00000224156,ENSG00000227739,ENSG00000229684,ENSG00000232421,ENSG00000232575,ENSG00000235067	656794.20732E-6	1.6818E-1	3.07089E-1
hsa05410	69	90	4	792	0.5	65	19461	0.33	ACTG1,FOXC1,FOXL1,ITGA6	ENSG00000005961,ENSG00000006116,ENSG00000007402,ENSG00000017427,ENSG00000056345,ENSG00000075429,ENSG00000075461,ENSG00000075624,ENSG00000078401,ENSG00000081248,ENSG00000082781,ENSG00000092054,ENSG00000092969,ENSG00000102119,ENSG00000102683,ENSG00000105605,ENSG00000105855,ENSG00000106617,ENSG00000107796,ENSG00000108878,ENSG00000115221,ENSG00000115232,ENSG00000115592,ENSG00000119699,ENSG00000124205,ENSG00000127129,ENSG00000129991,ENSG00000130433,ENSG00000132356,ENSG00000132470,ENSG00000135424,ENSG00000135744,ENSG00000137809,ENSG00000138448,ENSG00000140416,ENSG00000142408,ENSG00000143549,ENSG00000144668,ENSG00000150093,ENSG00000151062,ENSG00000151067,ENSG00000157388,ENSG00000157445,ENSG00000159251,ENSG00000159640,ENSG00000160789,ENSG00000160808,ENSG00000161638,ENSG00000162409,ENSG00000163069,ENSG00000166862,ENSG00000167460,ENSG00000167535,ENSG00000170624,ENSG00000175084,ENSG00000182389,ENSG00000197616,ENSG00000204490,ENSG00000206439,ENSG00000213949,ENSG00000223952,ENSG00000228321,ENSG00000228849,ENSG00000230108,ENSG00000232810	413513.44129E-6	2.85016E-1	4.03599E-1
hsa05412	53	72	5	791	0.63	48	19478	0.25	ACTG1,FOXC1,FOXL1,GJA1,ITGA6	ENSG00000005961,ENSG00000006116,ENSG00000007402,ENSG00000044115,ENSG00000046604,ENSG00000056345,ENSG00000057294,ENSG00000072110,ENSG00000075429,ENSG00000075461,ENSG00000075624,ENSG00000077522,ENSG00000081059,ENSG00000081248,ENSG00000082781,ENSG00000096696,ENSG00000102119,ENSG00000102683,ENSG00000105605,ENSG00000105855,ENSG00000108878,ENSG00000115221,ENSG00000115232,ENSG00000130402,ENSG00000130433,ENSG00000132470,ENSG00000135424,ENSG00000137809,ENSG00000138448,ENSG00000142408,ENSG00000144668,ENSG00000148737,ENSG00000150093,ENSG00000151062,ENSG00000151067,ENSG00000157388,ENSG00000157445,ENSG00000160789,ENSG00000161638,ENSG00000163069,ENSG00000166862,ENSG00000167535,ENSG00000168036,ENSG00000170624,ENSG00000175084,ENSG00000182389,ENSG00000183230,ENSG00000213949	941979.83628E-6	5.5791E-2	1.77079E-1
