#term	term_size	term_size_in_genome	list1_positives	list1_negatives	list1_percentage	list2_positives	list2_negatives	list2_percentage	list1_positive_ids	list2_positive_ids	odds_ratio_log	pvalue	adj_pvalue
h_erbB4pathway	4	7	2	794	0.25	2	19524	0.01	ADAM17,FOXC1	ENSG00000154229,ENSG00000178568	3.2023162958E0	8.72232E-3	4.02114E-2
h_notchpathway	6	6	3	793	0.38	3	19523	0.02	ADAM17,FOXC1,NOTCH1	ENSG00000140564,ENSG00000168214,ENSG00000198719	3.203525315E0	1.09564E-3	1.42182E-2
h_barr-mapkPathway	12	12	4	792	0.5	8	19518	0.04	ADRBK1,FOXC1,FOXL1,MAP2K1	ENSG00000087460,ENSG00000102882,ENSG00000111262,ENSG00000137486,ENSG00000164742,ENSG00000177272,ENSG00000177301,ENSG00000182621	2.5113838233E0	8.98851E-4	1.28678E-2
h_bArrestin-srcPathway	13	14	4	792	0.5	9	19517	0.05	ADRBK1,FOXC1,FOXL1,MAP2K1	ENSG00000000938,ENSG00000087460,ENSG00000102882,ENSG00000111262,ENSG00000137486,ENSG00000164742,ENSG00000177272,ENSG00000177301,ENSG00000182621	2.3935495516E0	1.25828E-3	1.5557E-2
h_arapPathway	15	14	4	792	0.5	11	19515	0.06	ARFGEF1,ARFGEF2,FOXC1,FOXL1	ENSG00000008256,ENSG00000047365,ENSG00000100055,ENSG00000101199,ENSG00000105443,ENSG00000107862,ENSG00000112293,ENSG00000151693,ENSG00000153317,ENSG00000175416,ENSG00000186635	2.1927763761E0	2.25655E-3	1.85994E-2
h_ptc1Pathway	9	9	3	793	0.38	6	19520	0.03	CDC25B,FOXC1,FOXL1	ENSG00000020426,ENSG00000134057,ENSG00000158402,ENSG00000164045,ENSG00000164690,ENSG00000185920	2.5102244578E0	4.21235E-3	2.728E-2
h_vdrPathway	19	21	4	792	0.5	15	19511	0.08	COPS2,EP300,FOXC1,MED1	ENSG00000005339,ENSG00000066117,ENSG00000077097,ENSG00000084676,ENSG00000103197,ENSG00000111424,ENSG00000114166,ENSG00000116478,ENSG00000117713,ENSG00000126457,ENSG00000127616,ENSG00000130733,ENSG00000139613,ENSG00000141027,ENSG00000167670	1.8824164563E0	5.65728E-3	3.1166E-2
h_ctcfPathway	16	21	5	791	0.63	11	19515	0.06	CTCF,FOXC1,FOXL1,MTOR,MYC	ENSG00000069702,ENSG00000105369,ENSG00000106799,ENSG00000111276,ENSG00000119699,ENSG00000121879,ENSG00000135679,ENSG00000141510,ENSG00000141646,ENSG00000171862,ENSG00000225134	2.4171833515E0	2.773E-4	1.10445E-2
h_eif2Pathway	11	10	3	793	0.38	8	19518	0.04	EIF2AK3,EIF2S1,FOXL1	ENSG00000055332,ENSG00000082701,ENSG00000086232,ENSG00000100664,ENSG00000125977,ENSG00000128829,ENSG00000130741,ENSG00000145191	2.2224399211E0	7.8031E-3	3.65939E-2
h_igf1mtorpathway	16	18	4	792	0.5	12	19514	0.06	EIF2S1,FOXC1,FOXL1,MTOR	ENSG00000005882,ENSG00000017427,ENSG00000082701,ENSG00000121879,ENSG00000125977,ENSG00000130741,ENSG00000140443,ENSG00000142208,ENSG00000145191,ENSG00000165458,ENSG00000171862,ENSG00000225134	2.1057137552E0	2.91629E-3	2.08745E-2
h_rnaPathway	8	7	3	793	0.38	5	19521	0.03	EIF2S1,FOXC1,FOXL1	ENSG00000006062,ENSG00000055332,ENSG00000102580,ENSG00000125977,ENSG00000141510	2.6925972428E0	2.89204E-3	2.08745E-2
h_vegfPathway	19	23	4	792	0.5	15	19511	0.08	EIF2S1,FOXC1,FOXL1,VHL	ENSG00000037280,ENSG00000066044,ENSG00000112715,ENSG00000115211,ENSG00000121879,ENSG00000124181,ENSG00000125977,ENSG00000128052,ENSG00000130741,ENSG00000143437,ENSG00000145191,ENSG00000154229,ENSG00000164867,ENSG00000173674,ENSG00000225134	1.8824164563E0	5.65728E-3	3.1166E-2
h_carm-erPathway	18	22	5	791	0.63	13	19513	0.07	EP300,FOXC1,FOXL1,MED1,NRIP1	ENSG00000005339,ENSG00000012048,ENSG00000091831,ENSG00000094631,ENSG00000110092,ENSG00000116478,ENSG00000130733,ENSG00000155974,ENSG00000165417,ENSG00000169297,ENSG00000171720,ENSG00000196498,ENSG00000196591	2.2500267763E0	5.09586E-4	1.12125E-2
h_her2Pathway	17	22	5	791	0.63	12	19514	0.06	EP300,FOXC1,FOXL1,MAP2K1,SOS1	ENSG00000065361,ENSG00000091831,ENSG00000102882,ENSG00000121879,ENSG00000130733,ENSG00000141736,ENSG00000146648,ENSG00000155974,ENSG00000160712,ENSG00000168610,ENSG00000178568,ENSG00000225134	2.3301207305E0	3.80229E-4	1.10445E-2
h_il7Pathway	12	14	4	792	0.5	8	19518	0.04	EP300,FOXC1,FOXL1,JAK3	ENSG00000005339,ENSG00000104432,ENSG00000120899,ENSG00000121879,ENSG00000123609,ENSG00000126561,ENSG00000182866,ENSG00000225134	2.5113838233E0	8.98851E-4	1.28678E-2
h_pparaPathway	44	52	6	790	0.75	38	19488	0.19	EP300,FOXC1,FOXL1,MED1,MYC,NRIP1	ENSG00000005249,ENSG00000005339,ENSG00000007171,ENSG00000025434,ENSG00000065833,ENSG00000073756,ENSG00000080824,ENSG00000084676,ENSG00000102882,ENSG00000113790,ENSG00000118137,ENSG00000120129,ENSG00000121879,ENSG00000126561,ENSG00000128951,ENSG00000131910,ENSG00000141027,ENSG00000142875,ENSG00000154229,ENSG00000161533,ENSG00000164442,ENSG00000165059,ENSG00000175445,ENSG00000175745,ENSG00000177606,ENSG00000185591,ENSG00000186951,ENSG00000196498,ENSG00000197461,ENSG00000204490,ENSG00000206439,ENSG00000223952,ENSG00000225134,ENSG00000228321,ENSG00000228849,ENSG00000230108,ENSG00000231555,ENSG00000232810	1.3596945346E0	7.02822E-3	3.65939E-2
h_ppargPathway	7	7	3	793	0.38	4	19522	0.02	EP300,FOXC1,MED1	ENSG00000005339,ENSG00000084676,ENSG00000132170,ENSG00000175445	2.9157920196E0	1.86158E-3	1.85994E-2
h_tgfbPathway	16	16	4	792	0.5	12	19514	0.06	EP300,FOXC1,MAP2K1,MAP3K7IP1	ENSG00000005339,ENSG00000039068,ENSG00000101665,ENSG00000102882,ENSG00000106799,ENSG00000119699,ENSG00000134982,ENSG00000136603,ENSG00000141646,ENSG00000157077,ENSG00000166949,ENSG00000175387	2.1057137552E0	2.91629E-3	2.08745E-2
h_bard1Pathway	7	8	3	793	0.38	4	19522	0.02	FANCC,FOXC1,FOXL1	ENSG00000012048,ENSG00000183161,ENSG00000187741,ENSG00000221829	2.9157920196E0	1.86158E-3	1.85994E-2
h_akap13Pathway	9	11	3	793	0.38	6	19520	0.03	FOXC1,FOXL1,GNA12	ENSG00000005249,ENSG00000064547,ENSG00000067560,ENSG00000142875,ENSG00000165059,ENSG00000170776	2.5102244578E0	4.21235E-3	2.728E-2
h_aMANpathway	11	12	3	793	0.38	8	19518	0.04	FOXC1,FOXL1,MAN1A2	ENSG00000104774,ENSG00000130383,ENSG00000156413,ENSG00000172318,ENSG00000172461,ENSG00000180549,ENSG00000196371,ENSG00000196547	2.2224399211E0	7.8031E-3	3.65939E-2
h_arfPathway	11	14	3	793	0.38	8	19518	0.04	FOXC1,FOXL1,MYC	ENSG00000097007,ENSG00000121068,ENSG00000121879,ENSG00000122691,ENSG00000135679,ENSG00000136238,ENSG00000141510,ENSG00000225134	2.2224399211E0	7.8031E-3	3.65939E-2
h_At1rPathway	17	23	4	792	0.5	13	19513	0.07	FOXC1,FOXL1,MAP2K1,SOS1	ENSG00000065559,ENSG00000102882,ENSG00000120899,ENSG00000135744,ENSG00000136238,ENSG00000144891,ENSG00000146648,ENSG00000149269,ENSG00000154229,ENSG00000156052,ENSG00000160014,ENSG00000177606,ENSG00000198668	2.0256198009E0	3.69662E-3	2.5137E-2
h_bcrPathway	19	28	4	792	0.5	15	19511	0.08	FOXC1,FOXL1,MAP2K1,SOS1	ENSG00000010671,ENSG00000100968,ENSG00000102882,ENSG00000105369,ENSG00000112062,ENSG00000120910,ENSG00000124181,ENSG00000131196,ENSG00000136238,ENSG00000138814,ENSG00000141968,ENSG00000154229,ENSG00000160014,ENSG00000177606,ENSG00000198668	1.8824164563E0	5.65728E-3	3.1166E-2
h_biopeptidesPathway	18	24	4	792	0.5	14	19512	0.07	FOXC1,FOXL1,MAP2K1,SOS1	ENSG00000096968,ENSG00000102882,ENSG00000112062,ENSG00000113889,ENSG00000120899,ENSG00000124181,ENSG00000126561,ENSG00000135744,ENSG00000154229,ENSG00000160014,ENSG00000168610,ENSG00000180772,ENSG00000198668,ENSG00000231338	1.9514605796E0	4.6072E-3	2.84809E-2
