#term	term_size	term_size_in_genome	list1_positives	list1_negatives	list1_percentage	list2_positives	list2_negatives	list2_percentage	list1_positive_ids	list2_positive_ids	odds_ratio_log	pvalue	adj_pvalue
hsa05110	54	60	7	789	0.88	47	19479	0.24	ACTG1,ATP6V1A,ATP6V1C1,ATP6V1F,FOXC1,FOXL1,SEC61B	ENSG00000001626,ENSG00000033627,ENSG00000047249,ENSG00000053918,ENSG00000058262,ENSG00000064651,ENSG00000065665,ENSG00000071553,ENSG00000075624,ENSG00000087460,ENSG00000100196,ENSG00000105438,ENSG00000105929,ENSG00000110719,ENSG00000113732,ENSG00000116039,ENSG00000117410,ENSG00000119139,ENSG00000124181,ENSG00000132432,ENSG00000136240,ENSG00000136888,ENSG00000138031,ENSG00000142875,ENSG00000143761,ENSG00000143882,ENSG00000147416,ENSG00000147614,ENSG00000151418,ENSG00000154229,ENSG00000159720,ENSG00000162104,ENSG00000165059,ENSG00000171130,ENSG00000171142,ENSG00000183943,ENSG00000185344,ENSG00000185883,ENSG00000197930,ENSG00000198788,ENSG00000206445,ENSG00000213760,ENSG00000226850,ENSG00000227587,ENSG00000230900,ENSG00000234668,ENSG00000234920	1.3020884677E0	4.91478E-3	6.42011E-2
hsa03040	134	152	14	782	1.76	120	19406	0.61	AQR,BC002572,BCAS2,FOXC1,FOXL1,HNRNPA3,HNRNPM,PRPF38B,RBM25,RBMX,SF3A3,SF3B1,SFRS3,THOC2	ENSG00000051596,ENSG00000060688,ENSG00000063244,ENSG00000067596,ENSG00000076924,ENSG00000077312,ENSG00000079134,ENSG00000084072,ENSG00000084463,ENSG00000085872,ENSG00000086589,ENSG00000087365,ENSG00000092199,ENSG00000096401,ENSG00000099995,ENSG00000100028,ENSG00000100138,ENSG00000100813,ENSG00000101161,ENSG00000101343,ENSG00000102103,ENSG00000104852,ENSG00000104897,ENSG00000106245,ENSG00000106355,ENSG00000109606,ENSG00000109971,ENSG00000110107,ENSG00000110844,ENSG00000111196,ENSG00000111786,ENSG00000113649,ENSG00000114503,ENSG00000115128,ENSG00000115875,ENSG00000117614,ENSG00000119953,ENSG00000124193,ENSG00000124562,ENSG00000125743,ENSG00000125835,ENSG00000125870,ENSG00000126803,ENSG00000128534,ENSG00000130332,ENSG00000130520,ENSG00000131795,ENSG00000131876,ENSG00000132792,ENSG00000134748,ENSG00000135486,ENSG00000136450,ENSG00000136527,ENSG00000136875,ENSG00000136937,ENSG00000139343,ENSG00000139675,ENSG00000140829,ENSG00000141543,ENSG00000141759,ENSG00000143368,ENSG00000143977,ENSG00000144028,ENSG00000145833,ENSG00000146007,ENSG00000150316,ENSG00000160201,ENSG00000160799,ENSG00000161547,ENSG00000162385,ENSG00000163714,ENSG00000164167,ENSG00000164609,ENSG00000165119,ENSG00000167088,ENSG00000168883,ENSG00000169976,ENSG00000170860,ENSG00000171960,ENSG00000172780,ENSG00000172850,ENSG00000173110,ENSG00000175467,ENSG00000182004,ENSG00000183684,ENSG00000188529,ENSG00000189091,ENSG00000196504,ENSG00000198231,ENSG00000204388,ENSG00000204389,ENSG00000204390,ENSG00000204392,ENSG00000204560,ENSG00000212866,ENSG00000215328,ENSG00000215425,ENSG00000215699,ENSG00000224501,ENSG00000224979,ENSG00000225073,ENSG00000225859,ENSG00000225998,ENSG00000226171,ENSG00000229496,ENSG00000230624,ENSG00000231377,ENSG00000231502,ENSG00000231555,ENSG00000232804,ENSG00000233049,ENSG00000233418,ENSG00000233561,ENSG00000234258,ENSG00000234475,ENSG00000235439,ENSG00000235941,ENSG00000236826,ENSG00000237724,ENSG00000242466	1.0630484219E0	7.8925E-4	3.22028E-2
hsa04140	29	33	5	791	0.63	24	19502	0.12	ATG3,ATG5,BECN1,FOXC1,FOXL1	ENSG00000078142,ENSG00000083290,ENSG00000101844,ENSG00000120235,ENSG00000120242,ENSG00000129965,ENSG00000130734,ENSG00000132356,ENSG00000137080,ENSG00000139112,ENSG00000145782,ENSG00000147873,ENSG00000147885,ENSG00000162409,ENSG00000168397,ENSG00000170296,ENSG00000186803,ENSG00000188379,ENSG00000197548,ENSG00000197919,ENSG00000214042,ENSG00000228083,ENSG00000234829,ENSG00000236637	1.6363584177E0	4.94583E-3	6.42011E-2
hsa04120	103	131	20	776	2.51	83	19443	0.43	BIRC6,CDC23,CDC26,FOXC1,FOXL1,HERC2,HERC3,HERC4,PML,SIAH1,SOCS1,TRIM32,UBE2A,UBE2D3,UBE2F,UBE2N,UBE2Q2,UBE3A,UBE3B,VHL	ENSG00000004897,ENSG00000009335,ENSG00000012048,ENSG00000023445,ENSG00000033178,ENSG00000033800,ENSG00000036257,ENSG00000044090,ENSG00000049167,ENSG00000049759,ENSG00000053900,ENSG00000055130,ENSG00000069869,ENSG00000072401,ENSG00000072803,ENSG00000078043,ENSG00000078747,ENSG00000078967,ENSG00000079999,ENSG00000086758,ENSG00000099804,ENSG00000100023,ENSG00000100387,ENSG00000101966,ENSG00000102069,ENSG00000102858,ENSG00000103266,ENSG00000103275,ENSG00000103363,ENSG00000104343,ENSG00000105325,ENSG00000107341,ENSG00000108094,ENSG00000108106,ENSG00000108395,ENSG00000108854,ENSG00000109670,ENSG00000110107,ENSG00000110330,ENSG00000110344,ENSG00000114125,ENSG00000116661,ENSG00000123124,ENSG00000126261,ENSG00000129055,ENSG00000130725,ENSG00000130985,ENSG00000132388,ENSG00000134574,ENSG00000135679,ENSG00000140543,ENSG00000141552,ENSG00000142230,ENSG00000142273,ENSG00000143207,ENSG00000145604,ENSG00000153107,ENSG00000153827,ENSG00000154582,ENSG00000158290,ENSG00000159202,ENSG00000160087,ENSG00000160224,ENSG00000162298,ENSG00000164162,ENSG00000167986,ENSG00000170035,ENSG00000170142,ENSG00000175063,ENSG00000175104,ENSG00000175931,ENSG00000176248,ENSG00000177414,ENSG00000182179,ENSG00000184557,ENSG00000184787,ENSG00000185019,ENSG00000185345,ENSG00000185651,ENSG00000186591,ENSG00000198373,ENSG00000198642,ENSG00000198742	1.7979815327E0	2.74149E-9	5.31849E-7
hsa04110	104	119	11	785	1.38	93	19433	0.48	CCND2,CDC23,CDC25B,CDC26,EP300,FOXC1,FOXL1,MYC,STAG1,YWHAB,YWHAE	ENSG00000002822,ENSG00000004897,ENSG00000005339,ENSG00000006634,ENSG00000007968,ENSG00000053900,ENSG00000055130,ENSG00000072501,ENSG00000073111,ENSG00000076003,ENSG00000077935,ENSG00000079335,ENSG00000080839,ENSG00000081377,ENSG00000082701,ENSG00000091651,ENSG00000092969,ENSG00000093009,ENSG00000094804,ENSG00000097007,ENSG00000097046,ENSG00000099860,ENSG00000100297,ENSG00000100387,ENSG00000101972,ENSG00000103479,ENSG00000104738,ENSG00000105173,ENSG00000105325,ENSG00000108055,ENSG00000110092,ENSG00000111276,ENSG00000112242,ENSG00000112576,ENSG00000112742,ENSG00000114126,ENSG00000115942,ENSG00000115947,ENSG00000116478,ENSG00000116670,ENSG00000116717,ENSG00000116809,ENSG00000119699,ENSG00000121031,ENSG00000123080,ENSG00000123374,ENSG00000124762,ENSG00000127564,ENSG00000128245,ENSG00000129055,ENSG00000129355,ENSG00000129757,ENSG00000130222,ENSG00000132646,ENSG00000133740,ENSG00000134057,ENSG00000134308,ENSG00000134480,ENSG00000135336,ENSG00000135446,ENSG00000135476,ENSG00000135679,ENSG00000141510,ENSG00000141552,ENSG00000141646,ENSG00000145604,ENSG00000147082,ENSG00000147883,ENSG00000147889,ENSG00000149311,ENSG00000149554,ENSG00000153107,ENSG00000154473,ENSG00000156970,ENSG00000157456,ENSG00000158402,ENSG00000164045,ENSG00000164162,ENSG00000164611,ENSG00000164924,ENSG00000166483,ENSG00000166508,ENSG00000166851,ENSG00000166949,ENSG00000169679,ENSG00000170027,ENSG00000175054,ENSG00000175387,ENSG00000175793,ENSG00000176248,ENSG00000196591,ENSG00000198176,ENSG00000205250	1.0743399927E0	2.52602E-3	5.44498E-2
hsa04114	88	108	9	787	1.13	79	19447	0.4	CDC23,CDC26,FOXC1,FOXL1,MAP2K1,PPP2R5D,SLK,YWHAB,YWHAE	ENSG00000004897,ENSG00000017427,ENSG00000053900,ENSG00000055130,ENSG00000058404,ENSG00000066027,ENSG00000066923,ENSG00000071242,ENSG00000072133,ENSG00000072501,ENSG00000072803,ENSG00000077935,ENSG00000078295,ENSG00000078304,ENSG00000087586,ENSG00000096433,ENSG00000100387,ENSG00000100918,ENSG00000102882,ENSG00000105173,ENSG00000105568,ENSG00000108055,ENSG00000112029,ENSG00000113575,ENSG00000116670,ENSG00000117676,ENSG00000120910,ENSG00000121281,ENSG00000123104,ENSG00000123374,ENSG00000127564,ENSG00000128245,ENSG00000129055,ENSG00000129810,ENSG00000129965,ENSG00000134057,ENSG00000134308,ENSG00000135476,ENSG00000138031,ENSG00000138814,ENSG00000140443,ENSG00000141552,ENSG00000142875,ENSG00000143933,ENSG00000145349,ENSG00000150995,ENSG00000153107,ENSG00000155897,ENSG00000157456,ENSG00000158402,ENSG00000160014,ENSG00000162104,ENSG00000163806,ENSG00000164162,ENSG00000164611,ENSG00000164742,ENSG00000164924,ENSG00000165059,ENSG00000166851,ENSG00000166869,ENSG00000169679,ENSG00000169885,ENSG00000170027,ENSG00000172531,ENSG00000172680,ENSG00000173175,ENSG00000174233,ENSG00000176248,ENSG00000178372,ENSG00000183943,ENSG00000186298,ENSG00000187446,ENSG00000188130,ENSG00000188386,ENSG00000198668,ENSG00000204710,ENSG00000213639,ENSG00000214575,ENSG00000221823	1.034996572E0	7.50094E-3	8.55989E-2
hsa00533	16	16	4	792	0.5	12	19514	0.06	CHST1,FOXC1,FOXL1,FUT8	ENSG00000008513,ENSG00000086062,ENSG00000117411,ENSG00000126091,ENSG00000140835,ENSG00000156966,ENSG00000157350,ENSG00000158850,ENSG00000170340,ENSG00000174684,ENSG00000175040,ENSG00000183196	2.1057137552E0	2.91629E-3	5.65761E-2
hsa00130	6	6	3	793	0.38	3	19523	0.02	COQ5,FOXC1,FOXL1	ENSG00000119723,ENSG00000132423,ENSG00000198650	3.203525315E0	1.09564E-3	3.54257E-2
hsa00510	40	45	7	789	0.88	33	19493	0.17	DPAGT1,FOXC1,FOXL1,FUT8,MAN1A2,MGAT2,RFT1	ENSG00000000419,ENSG00000033011,ENSG00000071073,ENSG00000073849,ENSG00000086062,ENSG00000086848,ENSG00000088035,ENSG00000089597,ENSG00000101901,ENSG00000104723,ENSG00000112893,ENSG00000117411,ENSG00000117643,ENSG00000119523,ENSG00000120697,ENSG00000128268,ENSG00000129562,ENSG00000134910,ENSG00000136908,ENSG00000139133,ENSG00000158850,ENSG00000159063,ENSG00000161013,ENSG00000163527,ENSG00000163902,ENSG00000167889,ENSG00000175548,ENSG00000177239,ENSG00000179085,ENSG00000182858,ENSG00000196547,ENSG00000214160,ENSG00000244038	1.6564469725E0	8.29968E-4	3.22028E-2
hsa05211	60	69	8	788	1.01	52	19474	0.27	EP300,FOXC1,FOXL1,MAP2K1,NRAS,RAP1A,SOS1,VHL	ENSG00000005339,ENSG00000019991,ENSG00000051382,ENSG00000070831,ENSG00000077264,ENSG00000078061,ENSG00000091483,ENSG00000092969,ENSG00000099942,ENSG00000100311,ENSG00000100387,ENSG00000100485,ENSG00000101349,ENSG00000102882,ENSG00000103363,ENSG00000105221,ENSG00000105647,ENSG00000105976,ENSG00000107263,ENSG00000108094,ENSG00000112715,ENSG00000116016,ENSG00000117020,ENSG00000117394,ENSG00000117461,ENSG00000119630,ENSG00000119699,ENSG00000121879,ENSG00000126934,ENSG00000127314,ENSG00000129521,ENSG00000130669,ENSG00000133703,ENSG00000134954,ENSG00000135766,ENSG00000136238,ENSG00000137843,ENSG00000141506,ENSG00000142208,ENSG00000143437,ENSG00000149269,ENSG00000154582,ENSG00000154803,ENSG00000163235,ENSG00000165197,ENSG00000171608,ENSG00000172379,ENSG00000173511,ENSG00000174775,ENSG00000177606,ENSG00000179295,ENSG00000180370	1.3355352548E0	2.25769E-3	5.44498E-2
