Platform Type	Center	Platform	Level	Sample	Barcode	File Name
METADATA	BCGSC	50	n/a	selected_samples	N/A	bcgsc.ca_LUAD.IlluminaHiSeq_miRNASeq.idf.txt
METADATA	BCGSC	50	n/a	selected_samples	N/A	bcgsc.ca_LUAD.IlluminaHiSeq_miRNASeq.sdrf.txt
METADATA	UNC	58	n/a	selected_samples	N/A	unc.edu_LUAD.IlluminaHiSeq_RNASeqV2.1.13.0.idf.txt
METADATA	UNC	58	n/a	selected_samples	N/A	unc.edu_LUAD.IlluminaHiSeq_RNASeqV2.1.13.0.sdrf.txt
miRNASeq	BCGSC	50	3	TCGA-05-4384-01	TCGA-05-4384-01A-01T-1754-13	TCGA-05-4384-01A-01T-1754-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-05-4390-01	TCGA-05-4390-01A-02T-1754-13	TCGA-05-4390-01A-02T-1754-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-05-4396-01	TCGA-05-4396-01A-21H-1857-13	TCGA-05-4396-01A-21H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-05-4405-01	TCGA-05-4405-01A-21H-1857-13	TCGA-05-4405-01A-21H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-05-4410-01	TCGA-05-4410-01A-21H-1857-13	TCGA-05-4410-01A-21H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-05-4415-01	TCGA-05-4415-01A-22H-1857-13	TCGA-05-4415-01A-22H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-05-4417-01	TCGA-05-4417-01A-22H-1857-13	TCGA-05-4417-01A-22H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-05-4424-01	TCGA-05-4424-01A-22H-1857-13	TCGA-05-4424-01A-22H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-05-4425-01	TCGA-05-4425-01A-01T-1754-13	TCGA-05-4425-01A-01T-1754-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-05-4427-01	TCGA-05-4427-01A-21H-1857-13	TCGA-05-4427-01A-21H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-05-4433-01	TCGA-05-4433-01A-22H-1857-13	TCGA-05-4433-01A-22H-1857-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-05-5420-01	TCGA-05-5420-01A-01T-1627-13	TCGA-05-5420-01A-01T-1627-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-05-5423-01	TCGA-05-5423-01A-01T-1627-13	TCGA-05-5423-01A-01T-1627-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-05-5425-01	TCGA-05-5425-01A-02T-1627-13	TCGA-05-5425-01A-02T-1627-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-05-5428-01	TCGA-05-5428-01A-01T-1627-13	TCGA-05-5428-01A-01T-1627-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-05-5429-01	TCGA-05-5429-01A-01T-1627-13	TCGA-05-5429-01A-01T-1627-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-05-5715-01	TCGA-05-5715-01A-01T-1627-13	TCGA-05-5715-01A-01T-1627-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-35-5375-01	TCGA-35-5375-01A-01T-1627-13	TCGA-35-5375-01A-01T-1627-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-38-4631-01	TCGA-38-4631-01A-01T-1754-13	TCGA-38-4631-01A-01T-1754-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-38-4632-01	TCGA-38-4632-01A-01T-1754-13	TCGA-38-4632-01A-01T-1754-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-38-6178-01	TCGA-38-6178-01A-11H-1754-13	TCGA-38-6178-01A-11H-1754-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-38-7271-01	TCGA-38-7271-01A-11H-2038-13	TCGA-38-7271-01A-11H-2038-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-38-A44F-01	TCGA-38-A44F-01A-11H-A24G-13	TCGA-38-A44F-01A-11H-A24G-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-2655-11	TCGA-44-2655-11A-01R-1757-13	TCGA-44-2655-11A-01R-1757-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-2657-11	TCGA-44-2657-11A-01R-1757-13	TCGA-44-2657-11A-01R-1757-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-2661-11	TCGA-44-2661-11A-01R-1757-13	TCGA-44-2661-11A-01R-1757-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-2665-11	TCGA-44-2665-11A-01R-1757-13	TCGA-44-2665-11A-01R-1757-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-2668-11	TCGA-44-2668-11A-01R-1757-13	TCGA-44-2668-11A-01R-1757-13.isoform.quantification.txt
miRNASeq	BCGSC	50	3	TCGA-44-3396-11	TCGA-44-3396-11A-01R-1757-13	TCGA-44-3396-11A-01R-1757-13.isoform.quantification.txt
